Timestep,Time,Mice,Foxes
0,0.0,2.446155822482515,2.446155822482515
100,50.0,4.097318335222328,2.394582409577487
200,100.0,3.4781056360424416,1.3356029660026179
300,150.0,1.9325027442126237,1.5604358292360552
400,200.0,2.1018333394095445,2.9168208775590183
500,250.0,5.114752537073882,2.222301861821091
600,300.0,2.9860434953846364,0.9890631139711934
700,350.0,1.3100713534828967,1.6694147345934962
800,400.0,2.6348684897841848,4.017963477156753
900,450.0,5.349338501885761,1.0023820670026402
