Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,50.53
1.00,104.00,50.58
1.50,102.00,50.58
2.00,103.90,50.58
2.50,101.90,50.58
3.00,103.90,50.58
3.50,101.90,50.58
4.00,103.90,50.58
4.50,101.90,50.58
5.00,103.90,50.58
5.50,101.90,50.58
6.00,101.90,50.58
6.50,103.90,50.58
7.00,102.00,50.58
7.50,103.90,50.58
8.00,101.90,50.58
8.50,103.90,50.58
9.00,101.90,50.58
9.51,103.90,50.58
10.01,101.90,50.58
10.51,103.90,50.58
11.01,102.00,50.58
11.51,103.90,50.58
12.01,101.90,50.58
12.51,103.90,50.58
13.01,101.90,50.58
13.51,103.90,50.58
14.01,101.90,50.58
14.51,103.90,50.58
15.01,101.90,50.58
15.51,105.90,50.58
16.01,101.90,50.58
16.51,103.90,50.58
17.01,101.90,50.58
17.51,103.90,50.58
18.01,101.90,50.58
18.51,103.90,50.58
19.01,101.90,50.58
19.51,104.00,50.58
20.01,101.90,50.58
20.51,101.90,50.58
21.01,103.90,50.58
21.51,101.90,50.58
22.01,103.90,50.58
22.51,101.90,50.58
23.01,104.00,50.58
23.51,101.90,50.58
24.01,103.90,50.58
24.51,101.90,50.58
25.01,101.80,50.58
25.52,103.80,50.58
26.02,101.90,50.58
27.46,101.90,50.58
27.96,103.90,50.58
28.46,102.00,50.58
28.96,102.00,50.58
29.46,103.90,50.58
29.96,101.90,50.58
30.46,101.90,50.58
30.96,103.90,50.58
31.46,101.90,50.58
31.96,103.90,50.58
32.46,103.90,50.58
32.96,101.90,50.58
33.46,103.90,50.58
33.96,101.90,50.58
34.46,101.90,50.58
34.96,103.90,50.58
35.46,102.00,50.58
35.96,103.90,50.58
36.46,101.90,50.58
36.96,101.90,50.58
37.46,103.90,50.58
37.96,101.90,50.58
38.46,103.90,50.58
38.96,101.90,50.58
39.46,103.90,50.58
39.96,101.90,50.58
40.46,101.90,50.58
40.96,103.90,50.58
41.46,101.90,50.58
41.96,104.00,50.58
42.46,101.90,50.58
42.96,103.90,50.58
43.46,101.90,50.58
43.96,101.90,50.58
44.46,103.90,50.58
44.96,101.90,50.58
45.47,104.00,50.58
45.97,101.90,50.58
46.47,103.90,50.58
46.97,101.90,50.58
47.47,103.90,50.58
47.97,101.90,50.58
48.47,103.90,50.58
48.97,101.90,50.58
49.47,103.90,50.58
49.97,101.90,50.58
50.47,101.90,50.58
50.97,105.90,50.58
51.47,101.90,50.58
51.97,103.90,50.58
52.47,101.90,50.58
52.97,103.90,50.58
53.47,101.90,50.58
53.97,104.00,50.58
54.47,101.90,50.58
54.97,101.90,50.58
55.47,103.90,50.58
55.97,101.90,50.58
56.47,103.90,50.58
56.97,101.90,50.58
57.47,103.90,50.58
57.97,102.00,50.58
58.47,103.90,50.58
58.97,101.90,50.58
59.47,103.90,50.58
60.89,101.90,50.58
61.39,101.90,50.58
61.89,103.90,50.58
62.39,101.90,50.58
62.89,103.90,50.58
63.39,101.90,50.58
63.89,103.90,50.58
64.39,102.00,50.58
64.89,101.90,50.58
65.39,103.90,50.58
65.89,101.90,50.58
66.39,103.90,50.58
66.89,101.90,50.58
67.39,103.90,50.58
67.89,101.90,50.58
68.39,103.90,50.58
68.89,101.90,50.58
69.39,102.00,50.58
69.90,103.90,50.58
70.40,101.90,50.58
70.90,105.90,50.58
71.40,101.90,50.58
71.90,103.90,50.58
72.40,101.90,50.58
72.90,102.00,50.58
73.40,103.90,50.58
73.90,101.90,50.58
74.40,103.90,50.58
74.90,101.90,50.58
75.40,104.00,50.58
75.90,102.00,50.58
76.40,102.00,50.58
76.90,103.90,50.58
77.40,102.00,50.58
77.90,104.00,50.58
78.40,102.00,50.58
78.90,104.00,50.58
79.40,102.00,50.58
79.90,104.00,50.58
80.40,102.00,50.58
80.90,103.90,50.58
81.40,101.90,50.58
81.90,104.00,50.58
82.40,101.90,50.58
82.90,103.90,50.58
83.40,101.90,50.58
83.90,102.00,50.58
84.40,103.90,50.58
84.90,101.90,50.58
85.40,103.90,50.58
85.90,101.90,50.58
86.40,103.90,50.58
86.90,101.90,50.58
87.40,103.90,50.58
87.90,101.90,50.58
88.40,101.90,50.58
88.90,104.00,50.58
89.41,101.90,50.58
89.91,103.90,50.58
90.41,103.90,50.58
90.91,103.90,50.58
91.41,101.90,50.58
91.91,104.00,50.58
92.41,101.90,50.58
93.84,103.90,50.58
94.34,101.90,50.58
94.84,102.00,50.58
95.34,103.90,50.58
95.84,102.00,50.58
96.34,103.90,50.58
96.84,101.90,50.58
97.34,103.90,50.58
97.84,102.00,50.58
98.34,103.90,50.58
98.85,101.90,50.58
99.35,104.00,50.58
99.85,102.00,50.58
100.35,101.90,50.58
100.85,103.90,50.58
101.35,101.90,50.58
101.85,104.00,50.58
102.35,101.90,50.58
102.85,102.00,50.58
103.35,103.90,50.58
103.85,101.90,50.58
104.35,103.90,50.58
104.85,101.90,50.58
105.35,103.90,50.58
105.85,101.90,50.58
106.35,101.90,50.58
106.85,103.90,50.58
107.35,101.90,50.58
107.85,103.90,50.58
108.35,101.90,50.58
108.85,103.90,50.58
109.35,101.90,50.58
109.85,105.90,50.58
110.35,101.90,50.58
110.85,104.00,50.58
111.35,101.90,50.58
111.85,103.90,50.58
112.35,101.90,50.58
112.85,101.90,50.58
113.35,103.90,50.58
113.85,102.00,50.58
114.35,103.90,50.58
114.85,102.00,50.58
115.35,103.90,50.58
115.85,101.90,50.58
116.35,103.90,50.58
116.85,101.90,50.58
117.36,103.90,50.58
117.86,102.00,50.58
118.36,103.90,50.58
118.86,101.90,50.58
119.36,101.90,50.58
119.86,104.00,50.58
120.36,101.90,50.58
120.86,103.90,50.58
121.36,101.90,50.58
121.86,103.90,50.58
122.36,101.90,50.58
122.86,103.90,50.58
123.36,102.00,50.58
123.86,104.00,50.58
124.36,101.90,50.58
124.86,102.00,50.58
125.36,103.90,50.58
125.86,102.00,50.58
127.29,103.90,50.58
127.79,101.90,50.58
128.29,103.90,50.58
128.79,102.00,50.58
129.29,103.90,50.58
129.79,102.00,50.58
130.29,103.90,50.58
130.80,103.90,50.58
131.30,101.90,50.58
131.80,103.90,50.58
132.30,101.90,50.58
132.80,103.90,50.58
133.30,102.00,50.58
133.80,103.90,50.58
134.30,101.90,50.58
134.80,102.00,50.58
135.30,103.90,50.58
135.80,101.90,50.58
136.30,103.90,50.58
136.80,101.90,50.58
137.30,103.90,50.58
137.80,101.90,50.58
138.30,101.90,50.58
138.80,103.90,50.58
139.30,101.90,50.58
139.80,103.90,50.58
140.30,101.90,50.58
140.80,103.90,50.58
141.30,101.90,50.58
141.80,104.00,50.58
142.30,101.90,50.58
142.80,101.90,50.58
143.30,104.00,50.58
143.80,102.00,50.58
144.30,103.90,50.58
144.80,101.90,50.58
145.30,103.90,50.58
145.80,102.00,50.58
146.30,103.90,50.58
146.80,101.90,50.58
147.30,103.90,50.58
147.80,102.00,50.58
148.30,103.90,50.58
148.80,103.90,50.58
149.31,103.90,50.58
149.81,102.00,50.58
150.31,101.90,50.58
150.81,104.00,50.58
151.31,101.90,50.58
151.81,104.00,50.58
152.31,101.90,50.58
152.81,102.00,50.58
153.31,103.90,50.58
153.81,102.00,50.58
154.31,103.90,50.58
154.81,101.90,50.58
155.31,103.90,50.58
155.81,101.90,50.58
156.31,103.90,50.58
156.81,102.00,50.58
157.31,103.90,50.58
157.81,102.00,50.58
158.31,101.90,50.58
158.81,104.00,50.58
160.25,101.90,50.58
160.75,104.00,50.58
161.25,101.90,50.58
161.75,104.00,50.58
162.25,102.00,50.58
162.75,103.90,50.58
163.25,101.90,50.58
163.75,104.00,50.58
164.25,101.90,50.66
164.75,102.00,50.66
165.25,101.90,50.66
165.75,103.90,50.66
166.25,101.90,50.66
166.75,104.00,50.66
167.25,101.90,50.66
167.75,104.00,50.66
168.25,101.90,50.66
168.75,102.00,50.66
169.25,105.90,50.66
169.76,101.90,50.66
170.26,103.90,50.66
170.76,102.00,50.66
171.26,103.90,50.66
171.76,102.00,50.66
172.26,103.90,50.66
172.76,102.00,50.66
173.26,102.00,50.66
173.76,104.00,50.66
174.26,102.00,50.66
174.76,104.00,50.66
175.26,102.00,50.66
175.76,103.90,50.66
176.26,101.90,50.66
176.76,104.00,50.66
177.26,102.00,50.66
177.76,103.90,50.66
178.26,102.00,50.66
178.76,101.90,50.66
179.26,103.90,50.66
179.76,101.90,50.66
