Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,59.00
1.00,105.90,63.51
1.50,99.90,72.21
2.00,104.00,87.27
2.50,101.90,87.27
3.00,103.90,98.96
3.50,101.90,107.22
4.00,103.90,110.56
4.50,101.90,110.56
5.00,101.90,125.88
5.50,103.90,125.88
6.00,103.90,125.88
6.50,99.90,125.88
7.00,103.90,125.88
7.50,101.90,125.88
8.00,103.90,125.88
8.50,101.90,125.88
9.95,103.90,125.88
10.45,101.90,125.88
10.95,103.90,125.88
11.45,103.90,125.88
11.95,101.90,125.88
12.45,103.90,125.88
12.95,101.90,125.88
13.45,103.90,125.88
13.95,101.90,125.88
14.46,103.90,125.88
14.96,101.90,125.79
15.46,103.90,125.79
15.96,101.90,125.79
16.46,101.90,125.79
16.96,103.90,125.79
17.46,101.90,125.79
17.96,103.90,125.79
18.46,101.90,125.79
18.96,103.90,125.79
19.46,101.90,125.79
19.96,103.90,125.79
20.46,101.90,125.79
20.96,103.90,125.79
21.46,101.90,125.79
21.96,101.90,125.79
22.46,103.90,125.79
22.96,101.90,125.79
23.46,103.90,125.79
23.96,101.90,125.79
24.46,103.90,125.79
24.96,101.90,125.79
25.46,104.00,125.79
25.96,101.90,125.79
26.46,103.90,125.79
26.96,101.90,125.79
27.46,104.00,125.79
27.96,101.90,125.79
28.46,103.90,125.79
28.96,103.90,125.79
29.46,103.90,125.79
29.96,101.90,125.79
30.46,103.90,125.79
30.96,101.90,125.79
31.46,101.90,125.79
31.96,103.90,125.79
32.47,101.90,125.79
32.97,103.90,125.79
33.47,101.90,125.79
33.97,103.90,125.79
34.47,101.90,125.79
34.97,103.90,125.79
35.47,102.00,125.79
35.97,103.90,125.79
36.47,102.00,125.79
36.97,103.90,125.79
37.47,102.00,125.79
37.97,103.90,125.79
38.47,101.90,125.79
38.97,103.90,125.79
39.47,101.90,125.79
39.97,101.90,125.79
40.47,103.90,125.79
40.97,102.00,125.79
41.47,103.90,125.79
42.92,101.90,125.79
43.42,103.90,125.79
43.92,101.90,125.79
44.42,103.90,125.79
44.92,101.90,125.79
45.42,103.90,125.79
45.92,101.90,125.79
46.42,103.90,125.79
46.92,101.90,125.79
47.42,101.90,126.88
47.92,105.90,126.88
48.42,101.90,126.88
48.92,103.90,126.88
49.43,101.90,126.88
49.93,102.00,126.88
50.43,103.90,126.88
50.93,101.90,126.88
51.43,103.90,126.88
51.93,101.90,126.88
52.43,103.90,126.88
52.93,101.90,126.88
53.43,103.90,126.88
53.93,101.90,126.88
54.43,103.90,126.88
54.93,101.90,126.88
55.43,103.90,126.88
55.93,101.90,126.88
56.43,103.90,126.88
56.93,101.90,126.88
57.43,101.90,126.88
57.93,103.90,126.88
58.43,101.90,126.88
58.93,103.90,126.88
59.43,101.90,126.88
59.93,103.90,126.88
60.43,101.90,126.88
60.93,103.90,126.88
61.43,101.90,126.88
61.93,103.90,126.88
62.43,101.90,126.88
62.93,103.90,126.88
63.43,101.90,126.88
63.93,103.90,126.88
64.43,101.90,126.88
64.93,103.90,126.88
