Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,54.50
1.00,99.90,63.61
1.50,99.90,78.19
2.00,99.90,85.93
2.50,99.90,68.72
3.00,99.90,80.77
3.50,99.90,68.73
4.00,99.90,70.98
4.50,107.90,85.47
5.00,107.90,68.73
5.50,109.90,82.32
6.00,107.90,68.73
6.50,107.90,77.16
7.01,111.90,68.73
7.51,106.00,76.39
8.01,113.90,78.20
8.51,107.90,68.73
9.01,109.90,81.55
9.51,107.90,68.73
10.01,109.90,76.65
10.51,107.90,68.73
11.01,109.90,79.23
11.51,107.90,82.06
12.01,109.90,68.73
12.51,107.90,78.45
13.01,109.90,68.73
13.51,108.00,77.42
14.01,109.90,68.73
14.51,109.90,68.73
15.01,107.90,79.48
15.51,108.00,68.73
16.01,109.90,82.32
16.51,107.90,68.73
17.01,109.90,82.06
17.51,110.00,68.73
18.01,107.90,68.73
18.51,109.90,68.73
19.01,107.90,81.03
19.51,110.00,74.33
20.01,108.00,68.73
20.51,108.00,76.91
21.01,110.00,68.73
21.51,110.00,82.06
22.01,108.00,68.73
22.51,109.90,72.52
23.01,107.90,80.26
23.51,109.90,68.73
24.01,107.90,72.52
