Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,53.16
1.00,109.90,62.80
1.50,109.90,71.40
2.00,107.90,73.21
2.50,107.90,71.40
3.00,109.90,67.54
3.50,107.90,71.41
4.00,109.90,67.54
4.50,107.90,67.54
5.00,109.90,70.38
5.50,107.90,79.85
6.00,109.90,67.54
6.50,109.90,67.54
7.00,107.90,67.54
7.50,107.90,84.49
8.00,109.90,67.54
8.51,107.90,84.75
9.01,111.90,67.54
9.51,107.90,67.54
10.01,110.00,67.54
10.51,109.90,68.83
11.01,107.90,81.14
11.51,110.00,79.28
12.01,107.90,71.41
12.51,109.90,81.14
13.01,109.90,75.21
13.51,107.90,67.54
14.01,109.90,71.41
14.51,109.90,75.21
15.01,107.90,67.54
15.51,107.90,67.54
18.94,109.90,79.07
19.44,107.90,81.14
19.94,110.00,67.54
20.44,107.90,69.34
20.94,107.90,71.92
21.44,109.90,71.66
