Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,55.08
1.00,101.90,62.42
2.56,103.90,72.54
3.06,103.90,72.54
3.56,101.90,87.61
4.06,103.90,97.99
4.56,103.90,108.57
5.06,101.90,110.81
5.56,103.90,110.81
6.06,103.90,110.81
6.56,101.90,126.14
7.06,103.90,126.14
7.56,103.90,126.14
8.06,101.90,126.14
8.56,103.90,126.14
9.06,103.90,126.14
9.56,105.90,126.14
10.06,101.90,126.14
10.56,103.90,126.14
11.06,103.90,126.14
11.56,101.90,126.14
12.06,103.90,126.14
12.56,103.90,126.14
13.07,103.90,126.14
13.57,101.90,126.14
14.07,103.90,126.14
14.57,104.00,126.14
15.07,101.90,126.11
15.57,103.90,126.11
16.07,105.90,126.11
16.57,103.90,126.11
17.07,101.90,126.11
17.57,104.00,126.11
18.07,103.90,126.11
18.57,101.90,126.11
19.07,103.90,126.11
19.57,103.90,126.11
20.07,101.90,126.11
20.57,103.90,126.11
21.07,103.90,126.11
21.57,101.90,126.11
22.07,103.90,126.11
22.57,103.90,126.11
23.07,103.90,126.11
23.57,101.90,126.11
24.07,103.90,126.11
24.57,103.90,126.11
25.07,101.90,126.11
25.57,103.90,126.11
26.07,103.90,126.11
26.57,102.00,126.11
27.07,103.90,126.11
27.57,103.90,126.11
28.07,101.90,126.11
28.57,103.90,126.11
29.07,104.00,126.11
29.57,104.00,126.11
30.07,101.90,126.11
30.57,103.90,126.11
31.07,103.90,126.11
31.57,101.90,126.11
32.08,103.90,126.11
32.58,103.90,126.11
33.08,101.90,126.11
33.58,103.90,126.11
34.08,103.90,126.11
34.58,101.90,126.11
36.18,105.90,126.11
36.68,103.90,126.11
37.18,103.90,126.11
37.68,101.90,126.11
38.18,103.90,126.11
38.68,103.90,126.11
39.18,101.90,126.11
39.68,103.90,126.11
40.18,103.90,126.11
40.68,101.90,126.11
41.18,103.90,126.11
41.68,103.90,126.11
42.18,103.90,126.11
42.68,101.90,126.11
43.18,103.90,126.11
43.68,103.90,126.11
44.18,101.90,126.11
44.68,103.90,126.11
45.18,103.90,126.11
45.68,103.90,126.11
46.18,101.90,126.11
46.68,103.90,126.11
47.18,103.90,126.11
47.68,101.90,126.11
48.18,103.90,126.11
48.68,103.90,126.11
49.18,101.90,126.11
49.68,103.90,126.11
50.18,103.90,126.11
50.68,103.90,126.11
51.18,101.90,126.11
51.68,103.90,126.11
52.18,103.90,126.11
52.68,101.90,126.11
53.18,103.90,126.11
53.69,103.90,126.11
54.19,103.90,126.11
54.69,103.90,126.11
55.19,103.90,126.11
55.69,101.90,126.11
56.19,104.00,126.11
56.69,104.00,126.11
57.19,103.90,126.11
57.69,101.90,126.11
58.19,103.90,126.11
58.69,103.90,126.11
59.19,101.90,126.11
59.69,103.90,126.11
60.19,104.00,126.11
60.69,101.90,126.11
61.19,103.90,126.11
61.69,103.90,126.11
62.19,101.90,126.11
62.69,103.90,126.11
63.19,103.90,126.11
63.69,103.90,126.11
64.19,101.90,126.11
64.69,103.90,126.11
65.19,103.90,126.11
65.69,101.90,126.11
66.19,103.90,126.11
66.69,103.90,126.11
67.19,101.90,126.11
67.69,103.90,126.11
69.29,103.90,126.11
69.79,101.90,126.11
70.29,103.90,126.11
70.79,103.90,126.11
71.29,104.00,126.11
71.79,101.90,126.11
72.29,103.90,126.11
72.79,103.90,126.11
73.29,103.90,126.11
73.79,103.90,126.11
74.29,103.90,126.11
74.79,101.90,126.11
75.29,103.90,126.11
75.79,103.90,126.11
76.29,103.90,126.11
76.79,101.90,126.11
77.29,103.90,126.11
77.79,103.90,126.11
78.29,101.90,126.11
78.79,103.90,126.11
79.29,103.90,126.11
79.79,103.90,126.11
80.29,101.90,126.11
80.79,103.90,126.11
81.29,103.90,126.11
81.79,101.90,126.11
82.29,103.90,126.11
82.79,103.90,126.11
83.29,102.00,126.11
83.79,103.90,126.11
84.29,103.90,126.11
84.80,102.00,126.11
85.30,103.90,126.11
85.80,103.90,126.11
86.30,103.90,126.11
86.80,101.90,126.11
87.30,103.90,126.11
87.80,103.90,126.11
88.30,101.90,126.11
88.80,103.90,126.11
89.30,103.90,126.11
89.80,101.90,126.11
