Landscape File,Time Step,Runtime (s),Profile File
100x100land.dat,50,4.432,/home/chenyang9779/s2693586/performance_analysis/results/profile_100x100land_ts50.prof
100x100land.dat,75,1.001,/home/chenyang9779/s2693586/performance_analysis/results/profile_100x100land_ts75.prof
100x100land.dat,100,1.001,/home/chenyang9779/s2693586/performance_analysis/results/profile_100x100land_ts100.prof
500x500land.dat,50,24.514,/home/chenyang9779/s2693586/performance_analysis/results/profile_500x500land_ts50.prof
500x500land.dat,75,23.576,/home/chenyang9779/s2693586/performance_analysis/results/profile_500x500land_ts75.prof
500x500land.dat,100,21.945,/home/chenyang9779/s2693586/performance_analysis/results/profile_500x500land_ts100.prof
50x50land.dat,50,0.501,/home/chenyang9779/s2693586/performance_analysis/results/profile_50x50land_ts50.prof
50x50land.dat,75,0.501,/home/chenyang9779/s2693586/performance_analysis/results/profile_50x50land_ts75.prof
50x50land.dat,100,0.501,/home/chenyang9779/s2693586/performance_analysis/results/profile_50x50land_ts100.prof
