Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,50.47
1.00,101.90,50.52
1.50,101.90,50.52
2.00,103.90,50.52
2.50,101.90,50.73
3.00,101.90,50.73
3.50,103.90,50.73
4.00,101.90,50.73
4.50,103.90,50.73
5.00,101.90,50.73
5.50,103.90,50.73
6.00,101.90,50.73
6.50,104.00,50.73
7.00,101.90,50.73
7.50,103.90,50.73
8.00,101.90,50.73
8.50,103.90,50.73
9.00,101.90,50.73
9.51,104.00,50.73
10.01,103.90,50.73
10.51,104.00,50.73
11.01,103.90,50.73
11.51,103.90,50.73
12.01,104.00,50.73
12.51,101.90,50.73
13.01,105.90,50.73
13.51,104.00,50.73
14.01,103.90,50.73
14.51,104.00,50.73
15.01,103.90,50.73
15.51,104.00,50.73
16.01,103.90,50.73
16.51,103.90,50.73
17.01,103.90,50.73
17.51,101.90,50.73
18.01,103.90,50.73
18.51,101.90,50.73
19.01,103.90,50.73
19.51,101.90,50.73
20.01,103.90,50.73
20.51,103.90,50.73
21.01,101.90,50.73
21.51,103.90,50.73
22.01,101.90,50.73
22.51,103.90,50.73
23.01,101.90,50.73
23.51,104.00,50.73
24.01,103.90,50.73
24.51,101.90,50.73
25.01,103.90,50.73
25.51,101.90,50.73
26.01,101.90,50.73
26.51,103.90,50.73
27.01,101.90,50.73
27.51,101.90,50.73
28.02,103.90,50.73
28.52,101.90,50.73
29.02,101.90,50.73
29.52,101.90,50.73
31.03,103.90,50.73
31.53,101.90,50.73
32.03,103.90,50.73
32.53,103.90,50.73
33.03,101.90,50.73
33.53,101.90,50.73
34.04,103.90,50.73
34.54,101.90,50.73
35.04,103.90,50.73
35.54,101.90,50.73
36.04,103.90,50.73
36.54,101.90,50.73
37.04,103.90,50.73
37.54,103.90,50.73
38.04,101.90,50.73
38.54,103.90,50.73
39.04,101.90,50.73
39.54,103.90,50.73
40.04,103.90,50.73
40.54,102.00,50.73
41.04,103.90,50.73
41.54,101.90,50.73
42.04,104.00,50.73
42.54,101.90,50.73
43.04,103.90,50.73
43.54,101.90,50.73
44.04,103.90,50.73
44.54,101.90,50.73
45.04,104.00,50.73
45.54,101.90,50.73
46.04,101.90,50.73
46.54,103.90,50.73
47.04,102.00,50.73
47.54,103.90,50.73
48.04,101.90,50.73
48.54,103.90,50.73
49.04,101.90,50.73
49.54,101.90,50.73
50.04,103.90,50.73
50.54,101.90,50.73
51.04,105.90,50.73
51.54,101.90,50.73
52.04,103.90,50.73
52.54,101.90,50.73
53.05,103.90,50.73
53.55,101.90,50.73
54.05,101.90,50.73
54.55,103.90,50.73
55.05,102.00,50.73
55.55,103.90,50.73
56.05,101.90,50.73
56.55,103.90,50.73
57.05,102.00,50.73
57.55,101.90,50.73
58.05,103.90,50.73
58.55,102.00,50.73
59.05,103.90,50.73
59.55,101.90,50.73
60.05,103.90,50.73
60.55,102.00,50.73
61.05,103.90,50.73
61.55,101.90,50.73
62.05,103.90,50.73
62.55,101.90,50.73
63.99,101.90,50.73
64.49,103.90,50.73
64.99,101.90,50.73
65.49,103.90,50.73
65.99,101.90,50.73
66.49,103.90,50.73
66.99,101.90,50.73
67.49,101.90,50.73
68.00,103.90,50.73
68.50,101.90,50.73
69.00,101.90,50.73
69.50,103.90,50.73
70.00,101.90,50.73
70.50,103.90,50.73
71.00,101.90,50.73
71.50,103.90,50.73
72.00,101.90,50.73
72.50,101.90,50.73
73.00,101.90,50.73
73.50,104.00,50.73
74.00,101.90,50.73
74.50,101.90,50.73
75.00,103.90,50.73
75.50,101.90,50.73
76.00,101.90,50.73
76.50,101.90,50.73
77.00,104.00,50.73
77.50,101.90,50.73
78.00,101.90,50.73
78.50,103.90,50.73
79.00,101.90,50.73
79.50,101.90,50.73
80.00,101.90,50.73
80.50,103.90,50.73
81.00,102.00,50.73
81.50,102.00,50.73
82.00,103.90,50.73
82.50,101.90,50.73
83.00,101.90,50.73
83.50,102.00,50.73
84.00,104.00,50.73
84.50,101.90,50.73
85.00,101.90,50.73
85.50,103.90,50.73
86.00,102.00,50.73
86.51,101.90,50.73
87.01,103.90,50.73
87.51,101.90,50.73
88.01,103.90,50.73
88.51,103.90,50.73
89.01,101.90,50.73
89.51,101.90,50.73
90.01,104.00,50.73
90.51,101.90,50.73
91.01,101.90,50.73
91.51,103.90,50.73
92.01,102.00,50.73
92.51,101.90,50.73
93.01,104.00,50.73
93.51,101.90,50.73
94.01,101.90,50.73
94.51,103.90,50.73
95.01,101.90,50.73
95.51,101.90,50.73
96.01,103.90,50.73
97.36,101.90,50.73
97.86,101.90,50.73
98.36,103.90,50.73
