Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,48.69
1.00,101.90,48.60
1.50,101.90,48.60
2.00,103.90,48.60
2.50,101.90,48.60
3.00,100.00,48.79
3.50,103.90,48.79
4.00,101.90,48.79
4.50,101.90,48.79
5.00,103.90,48.79
5.50,103.90,48.79
6.00,101.90,48.79
6.50,101.90,48.79
7.00,102.00,48.79
7.50,101.90,48.79
8.00,103.90,48.79
8.50,101.90,48.79
9.01,102.00,48.79
9.51,101.90,48.79
10.01,101.90,48.79
10.51,103.90,48.79
11.01,101.90,48.79
11.51,101.90,48.79
12.01,102.00,48.79
12.51,101.90,48.79
13.01,103.90,48.79
13.51,101.90,48.79
14.01,101.90,48.79
14.51,101.90,48.79
15.01,101.90,48.79
15.51,104.00,48.79
16.01,102.00,48.79
16.51,101.90,48.79
17.01,102.00,48.79
17.51,103.90,48.79
18.01,102.00,48.79
18.51,102.00,48.79
19.01,102.00,48.79
19.51,102.00,48.79
20.01,104.00,48.79
21.28,101.90,48.79
21.78,101.90,48.79
22.28,101.90,48.79
22.78,101.90,48.79
23.28,103.90,48.79
23.78,101.90,48.79
24.28,103.90,48.79
24.78,101.90,48.79
25.28,102.00,48.79
25.78,103.90,48.79
26.28,102.00,48.79
26.78,102.00,48.79
27.28,101.90,48.79
27.78,102.00,48.79
28.28,104.00,48.79
28.78,101.90,48.79
29.28,101.90,48.79
29.78,102.00,48.79
30.29,102.00,48.79
30.79,101.90,48.79
31.29,103.90,48.79
31.79,101.90,48.79
32.29,101.90,48.79
32.79,101.90,48.79
33.29,101.90,48.79
33.79,104.00,48.79
34.29,101.90,48.79
34.79,101.90,48.79
35.29,101.90,48.79
35.79,101.90,48.79
36.29,103.90,48.79
36.79,102.00,48.79
37.29,101.90,48.79
37.79,101.90,48.79
38.29,103.90,48.79
38.79,102.00,48.79
39.29,101.90,48.79
39.79,102.00,48.79
40.29,101.90,48.79
40.79,103.90,48.79
41.29,101.90,48.79
41.79,101.90,48.79
42.29,102.00,48.79
42.79,101.90,48.79
43.29,105.90,48.79
43.79,101.90,48.79
44.29,101.90,48.79
44.79,101.90,48.79
45.29,101.90,48.79
45.79,103.90,48.79
46.29,101.90,48.79
46.79,101.90,48.79
47.29,101.90,48.79
47.79,101.90,48.79
48.29,103.90,48.79
48.80,101.90,48.79
49.30,101.90,48.79
49.80,101.90,48.79
50.30,104.00,48.79
50.80,101.90,48.79
51.30,101.90,48.79
51.80,101.90,48.79
52.30,102.00,48.79
52.80,103.90,48.79
53.30,101.90,48.79
54.58,101.90,48.79
55.08,101.90,48.79
55.58,101.90,48.79
56.08,103.90,48.79
56.58,101.90,48.79
57.08,101.90,48.79
57.58,101.90,48.79
58.08,102.00,48.79
58.58,104.00,48.79
59.08,101.90,48.79
59.58,101.90,48.79
60.08,101.90,48.79
60.58,101.90,48.79
61.08,103.90,48.79
61.58,101.90,48.79
62.08,101.90,48.79
62.58,103.90,48.79
63.08,101.90,48.79
63.58,102.00,48.79
64.08,103.90,48.79
64.59,101.90,48.79
65.09,101.90,48.79
65.59,101.90,48.79
66.09,101.90,48.79
66.59,104.00,48.79
67.09,101.90,48.79
67.59,101.90,48.79
68.09,101.90,48.79
68.59,101.90,48.79
69.09,103.90,48.79
69.59,101.90,48.79
70.09,101.90,48.79
70.59,101.90,48.79
71.09,103.90,48.79
71.59,102.00,48.79
72.09,101.90,48.79
72.59,101.90,48.79
73.09,101.90,48.79
73.59,104.00,48.79
74.09,102.00,48.79
74.59,101.90,48.79
75.09,101.90,48.79
75.59,101.90,48.79
76.09,103.90,48.79
76.59,102.00,48.79
77.09,101.90,48.79
77.59,101.90,48.79
78.09,101.90,48.79
78.59,103.90,48.79
79.09,102.00,48.79
79.59,102.00,48.79
80.09,101.90,48.79
80.59,102.00,48.79
81.09,105.90,48.79
81.59,101.90,48.79
82.09,101.90,48.79
82.59,101.90,48.79
83.09,103.90,48.79
83.60,101.90,48.79
84.10,101.90,48.79
84.60,101.90,48.79
85.10,101.90,48.79
85.60,103.90,48.79
86.10,101.90,48.79
87.38,101.90,48.79
87.88,101.90,48.79
88.38,101.90,48.79
88.88,103.90,48.79
89.38,102.00,48.79
89.88,101.90,48.79
90.38,102.00,48.79
90.88,101.90,48.79
91.38,103.90,48.79
91.88,102.00,48.79
92.38,102.00,48.79
92.88,101.90,48.79
93.38,104.00,48.79
93.88,101.90,48.79
94.38,102.00,48.79
94.88,102.00,48.79
95.38,104.00,48.79
95.88,101.90,48.79
96.38,102.00,48.79
96.88,101.90,48.79
97.38,104.00,48.79
97.88,101.90,48.79
98.38,101.90,48.79
98.88,101.90,48.79
99.38,103.90,48.79
99.88,101.90,48.79
