Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,52.41
1.00,101.90,52.27
1.50,101.90,52.27
2.00,103.90,52.27
2.50,101.90,52.27
3.00,102.00,52.27
3.50,104.00,52.27
4.00,101.90,52.27
4.50,103.90,52.27
5.00,101.90,52.27
5.50,101.90,52.27
6.00,103.90,52.27
6.50,101.90,52.27
7.00,103.90,52.27
7.50,99.90,52.48
8.00,101.90,52.48
8.50,101.90,52.48
9.01,101.90,52.48
9.51,103.90,52.48
10.01,101.90,52.48
10.51,101.90,52.48
11.01,101.90,52.48
11.51,101.90,52.48
12.01,101.90,52.48
12.51,101.90,52.48
13.01,103.90,52.48
13.51,101.90,52.48
14.01,102.00,52.48
14.51,102.00,52.48
15.01,101.90,52.48
15.51,101.90,52.48
16.01,101.90,52.48
16.51,102.00,52.48
17.01,100.00,52.48
17.51,103.90,52.48
18.01,102.00,52.48
18.51,101.90,52.48
19.79,101.90,52.48
20.29,102.00,52.48
20.79,99.90,52.48
21.29,101.90,52.48
21.79,101.90,52.48
22.29,101.90,52.48
22.79,101.90,52.48
23.29,99.90,52.48
23.79,101.90,52.48
24.29,102.00,52.48
24.79,101.90,52.48
25.29,103.90,52.48
25.79,101.90,52.48
26.29,101.90,52.48
26.79,102.00,52.48
27.29,101.90,52.48
27.79,102.00,52.48
28.29,101.90,52.48
28.79,101.90,52.48
29.29,101.90,52.48
29.79,101.90,52.48
30.29,101.90,52.48
30.79,102.00,52.48
31.29,102.00,52.48
31.79,101.90,52.48
32.29,101.90,52.48
32.79,103.90,52.48
33.29,101.90,52.48
33.79,101.90,52.48
34.29,101.90,52.48
34.79,103.90,52.48
35.29,101.90,52.48
35.79,102.00,52.48
36.30,101.90,52.48
36.80,103.90,52.48
37.30,103.90,52.48
37.80,101.90,52.48
38.30,102.00,52.48
38.80,102.00,52.48
39.30,103.90,52.48
39.80,102.00,52.48
40.30,101.90,52.48
40.80,101.90,52.48
41.30,101.90,52.48
41.80,103.90,52.48
42.30,101.90,52.48
42.80,102.00,52.48
43.30,101.90,52.48
43.80,101.90,52.48
44.30,103.90,52.48
44.80,101.90,52.48
45.30,101.90,52.48
45.80,102.00,52.48
46.30,101.90,52.48
46.80,104.00,52.48
47.30,101.90,52.48
47.80,101.90,52.48
48.30,101.90,52.48
48.80,101.90,52.48
49.30,101.90,52.48
49.80,101.90,52.48
50.30,102.00,52.48
50.80,101.90,52.48
51.30,99.90,52.48
51.80,101.90,52.48
53.01,102.00,52.48
53.51,101.90,52.48
54.01,101.90,52.48
54.51,101.90,52.48
55.01,101.90,52.48
55.51,101.90,52.48
56.01,101.90,52.48
56.51,103.90,52.48
57.01,103.90,52.48
57.51,102.00,52.48
58.01,103.90,52.48
58.51,103.90,52.48
59.01,101.90,52.48
59.51,104.00,52.48
60.01,101.90,52.48
60.51,103.90,52.48
61.01,102.00,52.48
61.51,103.90,52.48
62.01,101.90,52.48
62.51,103.90,52.48
63.01,103.90,52.48
63.51,101.90,52.48
64.01,103.90,52.48
64.51,103.90,52.48
65.01,105.90,52.48
65.51,103.90,52.48
66.01,105.90,52.48
66.51,105.90,52.48
67.01,105.90,52.48
67.51,103.90,52.48
68.01,105.90,52.48
