Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,48.00
1.00,99.90,48.00
1.50,97.50,48.00
2.01,96.90,48.00
2.51,95.90,48.00
3.01,97.60,48.00
3.51,97.90,48.00
4.01,97.60,48.00
4.52,97.50,48.00
5.02,97.80,48.00
5.52,99.90,48.00
6.02,96.90,48.00
6.53,99.50,48.00
7.03,99.80,48.00
7.53,97.90,48.00
8.03,99.80,48.00
8.53,97.90,48.00
9.03,99.50,48.00
9.53,99.90,48.00
10.03,99.60,48.00
10.53,97.80,48.00
11.04,99.80,48.00
11.54,101.90,48.00
12.04,99.90,48.00
12.54,99.90,48.00
13.04,99.90,48.00
13.54,101.90,48.00
14.04,99.90,48.00
14.54,99.90,48.00
15.04,99.90,48.00
15.54,99.90,48.00
16.04,99.90,48.00
16.54,101.90,48.00
17.04,99.90,48.00
17.54,99.90,48.00
18.04,99.90,48.00
18.54,101.90,48.00
19.04,99.90,48.00
19.54,99.90,48.00
20.04,101.90,48.00
20.54,99.90,48.00
21.04,101.90,48.00
21.54,99.90,48.00
22.04,99.90,48.00
22.54,102.00,48.00
23.04,100.00,48.00
23.54,99.90,48.00
24.04,102.00,48.00
24.54,99.90,48.00
25.04,101.90,48.00
25.54,99.90,48.00
26.04,100.00,48.00
26.54,101.90,48.00
27.04,99.90,48.00
27.54,102.00,48.00
28.04,99.90,48.00
28.54,99.90,48.00
29.04,101.90,48.00
29.55,101.90,48.00
30.05,101.90,48.00
30.55,99.90,48.00
31.05,101.90,48.00
31.55,99.90,48.00
32.05,99.90,48.00
32.55,101.90,48.00
33.05,99.90,48.00
33.55,95.90,48.00
34.06,97.30,48.00
34.58,97.20,48.00
35.08,95.40,48.00
35.59,96.70,48.00
36.09,99.70,48.00
36.60,98.00,48.00
37.10,97.80,48.00
37.60,97.90,48.00
38.10,99.90,48.00
38.60,99.90,48.00
39.10,101.90,48.00
39.60,99.90,48.00
40.10,101.90,48.00
40.60,100.00,48.00
41.10,99.90,48.00
41.60,102.00,48.00
42.10,102.00,48.00
42.60,99.90,48.00
43.10,99.80,48.00
43.60,99.90,48.00
44.10,99.90,48.00
