Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,47.92
1.00,103.90,47.92
1.50,105.90,47.92
2.00,105.90,47.92
2.50,103.90,47.92
3.00,103.90,47.92
3.50,105.90,47.92
4.00,105.90,47.92
4.50,103.90,47.92
5.00,103.90,47.92
5.50,100.00,47.92
6.00,101.90,47.92
6.50,102.00,47.92
7.00,99.90,47.92
7.50,101.90,47.92
8.00,100.00,47.92
8.50,101.90,47.92
9.01,101.90,47.92
9.51,101.90,47.92
10.01,99.90,47.92
10.51,101.90,47.92
11.01,102.00,47.92
11.51,101.90,47.92
12.01,100.00,47.92
12.51,101.90,47.92
13.01,101.90,47.92
13.51,101.90,47.92
14.01,100.00,47.92
14.51,102.00,47.92
15.01,102.00,47.92
15.51,99.90,47.92
16.01,101.90,47.92
16.51,101.90,47.92
17.01,99.90,47.92
17.51,101.90,47.92
18.01,100.00,47.92
18.51,101.90,47.92
19.01,99.90,47.92
19.51,101.90,47.92
20.01,101.90,47.92
20.51,99.90,47.92
21.01,102.00,47.92
21.51,99.90,47.92
22.01,101.90,47.92
22.51,100.00,47.92
23.01,101.90,47.92
23.51,99.90,47.92
24.01,101.90,47.92
24.52,99.40,47.92
25.02,97.80,47.92
25.52,99.60,47.92
26.02,97.90,47.92
27.02,99.90,47.92
27.52,97.90,47.92
28.02,99.80,47.92
28.52,97.80,47.92
29.02,101.90,47.92
29.52,102.00,47.92
30.02,101.90,47.92
30.52,99.90,47.92
31.02,101.90,47.92
31.52,100.00,47.92
32.02,101.90,47.92
32.52,107.90,47.92
33.02,109.90,47.92
33.52,108.00,47.92
34.02,109.90,47.92
34.52,107.90,47.92
35.02,110.00,47.92
35.52,107.90,47.92
36.02,99.90,47.92
36.52,101.90,47.92
37.02,101.90,47.92
37.53,99.90,47.92
38.03,102.00,47.92
38.53,99.90,47.92
39.03,101.90,47.92
39.53,101.90,47.92
40.03,100.00,47.92
40.53,101.90,47.92
41.03,99.90,47.92
41.53,101.90,47.92
42.03,101.90,47.92
42.53,99.90,47.92
43.03,102.00,47.92
43.53,99.90,47.92
44.03,101.90,47.92
44.53,101.90,47.92
45.03,99.90,47.92
45.53,101.90,47.92
