Elapsed Time (s),CPU Usage (%),Memory (MB)
0.10,0.00,43.88
0.20,219.50,49.57
0.30,109.70,50.60
0.40,109.70,53.16
0.50,109.70,53.16
0.60,99.80,56.77
0.70,109.70,56.77
0.80,109.70,59.96
0.90,109.70,61.77
1.00,109.70,62.80
1.10,109.70,62.80
1.20,109.70,62.80
1.30,99.80,75.20
1.40,99.80,71.33
1.50,119.70,71.33
1.60,109.70,69.27
1.70,99.70,67.46
1.80,109.70,84.73
1.90,109.70,67.46
2.01,109.80,67.46
2.11,109.80,67.46
2.21,109.70,67.46
2.31,109.70,67.46
2.41,109.70,71.59
2.51,109.70,67.47
2.61,109.70,77.61
2.71,99.70,75.20
2.81,109.70,71.33
2.91,109.70,68.75
3.01,109.70,67.47
3.11,109.70,67.47
3.21,109.70,67.47
3.31,109.70,67.47
3.41,119.70,67.47
3.51,109.70,82.68
3.61,109.70,77.00
3.71,99.80,75.20
3.81,119.70,72.62
3.91,99.80,71.85
4.01,119.70,68.50
4.11,99.70,67.47
4.21,109.70,67.47
4.31,109.70,67.47
4.41,109.70,67.47
4.51,109.70,67.47
4.61,109.60,67.47
4.71,109.70,84.74
4.81,109.70,75.71
4.91,99.70,74.94
5.01,119.60,73.14
5.11,99.70,71.33
5.21,109.70,67.47
5.31,109.70,67.47
5.41,109.70,67.47
5.51,109.80,67.47
5.61,99.80,67.47
5.72,119.70,81.39
5.82,109.70,74.17
5.92,99.70,67.72
6.02,119.70,67.47
6.12,99.70,80.10
6.22,119.70,67.47
6.32,99.70,77.00
6.42,119.70,67.47
6.52,99.60,67.47
6.62,109.70,67.47
6.72,109.70,67.47
6.82,109.80,67.47
6.92,109.80,71.33
7.02,99.70,67.47
7.12,119.60,81.90
7.22,119.70,75.20
7.32,99.70,75.20
7.42,119.70,72.62
7.52,99.70,75.20
7.62,99.80,67.47
7.72,109.70,67.47
7.82,109.80,67.47
7.92,119.80,67.47
8.02,109.80,67.47
8.12,99.70,77.00
8.22,109.70,75.20
8.32,109.70,75.20
8.42,109.70,74.94
8.52,109.70,70.82
8.62,109.70,67.47
8.72,109.70,67.47
8.82,99.80,67.47
8.92,109.80,67.47
9.02,109.80,67.47
9.12,109.80,67.47
9.22,119.70,84.74
9.32,99.80,81.13
9.42,119.70,75.97
9.52,99.80,74.68
9.62,109.80,73.65
9.73,109.70,70.82
9.83,109.70,67.47
9.93,109.70,67.47
10.03,109.70,67.47
