Elapsed Time (s),CPU Usage (%),Memory (MB)
0.10,0.00,43.81
0.20,319.10,48.59
0.30,99.70,49.67
0.40,99.70,52.64
0.50,99.70,51.87
0.60,99.70,51.62
0.70,99.70,52.65
0.80,99.70,51.11
0.90,99.70,53.16
1.00,99.70,51.11
1.10,99.70,51.11
1.20,99.70,51.88
1.30,99.70,52.91
1.40,99.70,51.11
1.50,99.70,52.65
1.60,99.70,53.42
1.71,99.70,52.13
1.81,99.70,52.13
1.91,99.70,51.11
2.01,99.70,51.36
2.11,99.70,51.62
2.21,99.70,51.11
2.31,109.70,53.16
2.41,99.60,51.11
2.51,99.50,51.36
2.61,99.70,51.11
2.71,99.70,51.11
2.81,99.70,51.62
2.91,99.70,51.11
3.01,99.70,53.28
