Elapsed Time (s),CPU Usage (%),Memory (MB)
0.10,0.00,44.27
0.20,309.40,48.48
0.30,109.70,50.40
0.40,99.70,53.86
0.50,109.70,52.83
0.60,109.70,52.83
0.70,109.70,53.61
0.80,109.70,52.84
0.90,109.80,56.96
1.00,99.70,56.44
1.10,109.80,52.84
1.20,119.70,56.18
1.30,99.70,52.84
1.40,109.70,53.61
1.50,109.70,56.96
1.60,109.70,52.84
1.70,109.80,55.15
1.80,109.50,56.44
1.90,99.70,52.84
2.01,119.60,56.44
2.11,119.70,52.84
2.21,99.80,56.70
2.31,119.80,54.64
2.41,109.70,52.84
2.51,99.80,53.86
2.61,109.70,52.84
2.71,109.70,56.18
2.81,109.70,56.15
2.91,109.70,52.84
3.01,99.70,52.84
3.11,119.60,52.84
3.21,109.70,52.84
3.31,99.80,52.84
3.41,109.70,52.84
3.51,109.70,54.64
3.61,109.70,52.84
3.71,109.80,52.84
3.81,109.70,52.84
3.91,109.70,52.84
4.01,109.70,55.41
4.11,99.80,53.61
4.21,109.80,52.84
4.31,119.70,53.09
4.41,109.70,52.84
4.51,99.70,55.15
4.61,109.70,56.18
4.71,119.70,52.84
4.81,99.70,55.41
4.91,119.70,52.84
5.01,99.70,53.61
5.11,109.70,54.12
5.21,109.70,52.84
5.31,109.70,56.18
