Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,49.01
1.00,101.90,48.92
1.50,103.90,48.92
2.00,101.90,48.92
2.50,101.90,48.92
3.00,103.90,48.92
3.50,101.90,48.92
4.00,101.90,49.11
4.50,101.90,49.11
5.00,101.90,49.11
5.50,103.90,49.11
6.00,101.90,49.11
6.50,102.00,49.11
7.00,101.90,49.11
7.50,101.90,49.11
8.00,101.90,49.11
8.50,103.90,49.11
9.01,101.90,49.11
9.51,101.90,49.11
10.01,101.90,49.11
10.51,103.90,49.11
11.01,101.90,49.11
11.51,102.00,49.11
12.01,101.90,49.11
12.51,101.90,49.11
13.01,103.90,49.11
13.51,101.90,49.11
14.01,102.00,49.11
14.51,101.90,49.11
15.01,101.90,49.11
15.51,103.90,49.11
16.01,101.90,49.11
16.51,101.90,49.11
17.01,101.90,49.11
17.51,101.90,49.11
18.01,103.90,49.11
18.51,101.90,49.11
19.01,101.90,49.11
19.51,101.90,49.11
20.01,101.90,49.11
20.51,103.90,49.11
21.01,103.90,49.11
21.51,102.00,49.11
22.01,101.90,49.11
22.51,103.90,49.11
23.01,101.90,49.11
23.51,101.90,49.11
24.01,101.90,49.11
24.51,101.90,49.11
25.01,103.90,49.11
25.51,101.90,49.11
26.01,101.90,49.11
26.51,101.90,49.11
27.79,101.90,49.11
28.29,103.90,49.11
28.79,101.90,49.11
29.29,101.90,49.11
29.79,101.90,49.11
30.29,101.90,49.11
30.79,103.90,49.11
31.29,102.00,49.11
31.79,102.00,49.11
32.29,102.00,49.11
32.79,101.90,49.11
33.29,103.90,49.11
33.79,101.90,49.11
34.29,101.90,49.11
34.79,101.90,49.11
35.29,102.00,49.11
35.80,101.90,49.11
36.30,103.90,49.11
36.80,101.90,49.11
37.30,101.90,49.11
37.80,101.90,49.11
38.30,101.90,49.11
38.80,103.90,49.11
39.30,101.90,49.11
39.80,101.90,49.11
40.30,103.90,49.11
40.80,101.90,49.11
41.30,103.90,49.11
41.80,101.90,49.11
42.30,101.90,49.11
42.80,101.90,49.11
43.30,101.90,49.11
43.80,103.90,49.11
44.30,101.90,49.11
44.80,101.90,49.11
45.30,102.00,49.11
45.80,101.90,49.11
46.30,103.90,49.11
46.80,101.90,49.11
47.30,101.90,49.11
47.80,101.90,49.11
48.30,101.90,49.11
48.80,103.90,49.11
49.30,102.00,49.11
49.80,101.90,49.11
50.30,101.90,49.11
50.80,101.80,49.11
51.30,103.90,49.11
51.81,101.90,49.11
52.31,101.90,49.11
52.81,101.90,49.11
53.31,103.90,49.11
53.81,101.90,49.11
54.31,101.90,49.11
54.81,101.90,49.11
55.31,101.90,49.11
55.81,103.90,49.11
56.31,103.90,49.11
56.81,101.90,49.11
57.31,101.90,49.11
57.81,101.90,49.11
58.31,103.90,49.11
58.81,101.90,49.11
59.31,101.90,49.11
60.58,101.90,49.11
61.08,101.90,49.11
61.58,103.90,49.11
62.08,101.90,49.11
62.58,101.90,49.11
63.08,101.90,49.11
63.58,101.90,49.11
64.09,103.90,49.11
64.59,101.90,49.11
65.09,101.90,49.11
65.59,101.90,49.11
66.09,101.90,49.11
66.59,103.90,49.11
67.09,101.90,49.11
67.59,102.00,49.11
68.09,101.90,49.11
68.59,101.90,49.11
69.09,101.90,49.11
69.59,103.90,49.11
70.09,101.90,49.11
70.59,101.90,49.11
71.09,101.90,49.11
71.59,101.90,49.11
72.09,103.90,49.11
72.59,102.00,49.11
73.09,101.90,49.11
73.59,101.90,49.11
74.09,101.90,49.11
74.59,105.90,49.11
75.09,101.90,49.11
75.59,101.90,49.11
76.09,101.90,49.11
76.59,101.90,49.11
77.09,104.00,49.11
77.59,101.90,49.11
78.09,102.00,49.11
78.59,101.90,49.11
79.09,101.90,49.11
79.59,103.90,49.11
80.09,101.90,49.11
80.59,102.00,49.11
81.09,101.90,49.11
81.59,103.90,49.11
82.10,101.90,49.11
82.60,101.90,49.11
83.10,101.90,49.11
83.60,101.90,49.11
84.10,103.90,49.11
84.60,101.90,49.11
85.10,102.00,49.11
85.60,101.90,49.11
86.10,101.90,49.11
86.60,103.90,49.11
87.10,101.90,49.11
87.60,101.90,49.11
88.10,101.90,49.11
88.60,102.00,49.11
89.10,103.90,49.11
89.60,102.00,49.11
90.10,101.90,49.11
90.60,101.90,49.11
91.10,101.90,49.11
91.60,104.00,49.11
92.10,101.90,49.11
92.60,103.90,49.11
93.88,101.90,49.11
94.38,101.90,49.11
94.88,103.90,49.11
95.38,102.00,49.11
95.88,102.00,49.11
96.38,101.90,49.11
96.88,102.00,49.11
97.38,104.00,49.11
97.89,101.90,49.11
98.39,101.90,49.11
98.89,101.90,49.11
99.39,101.90,49.11
99.89,103.90,49.11
100.39,101.90,49.11
100.89,101.90,49.11
101.39,101.90,49.11
101.89,101.90,49.11
102.39,103.90,49.11
102.89,101.90,49.11
103.39,101.90,49.11
103.89,101.90,49.11
104.39,102.00,49.11
104.89,102.00,49.11
