Elapsed Time (s),CPU Usage (%),Memory (MB)
29.46,109.70,141.79
29.56,99.70,142.31
29.66,109.70,142.31
29.76,119.70,142.31
29.86,109.60,146.82
29.96,99.70,152.88
30.06,109.70,157.64
30.16,109.70,157.64
30.26,109.50,164.93
30.36,109.70,168.98
30.46,99.70,142.31
30.56,109.70,142.31
30.66,109.70,150.10
30.76,99.70,157.64
30.86,119.60,158.93
30.96,109.60,165.43
31.06,109.70,168.98
31.16,99.70,157.64
31.26,119.60,142.31
31.36,109.60,142.31
31.46,99.70,134.78
31.56,109.70,126.72
31.66,109.60,134.78
31.76,109.60,130.27
31.87,109.70,142.31
31.97,109.60,149.07
32.07,119.60,157.64
32.17,99.70,165.43
32.27,109.70,180.57
32.37,119.70,195.89
32.47,109.70,126.47
32.57,99.80,126.47
32.67,109.70,126.47
32.77,109.80,126.47
32.87,109.80,126.47
32.97,109.80,126.47
33.07,109.70,126.47
33.17,109.70,126.47
33.27,109.70,126.47
33.37,99.70,126.47
33.47,109.70,126.47
33.57,109.80,126.47
33.67,109.80,126.47
33.77,109.70,126.47
33.87,109.80,126.47
33.97,109.70,126.47
34.07,109.70,126.47
34.17,109.80,126.47
34.27,109.70,126.47
34.37,99.60,157.64
34.47,109.70,157.64
34.57,109.70,165.43
34.67,119.60,187.33
34.77,99.70,126.47
34.87,109.70,134.78
34.97,109.60,142.31
35.07,109.70,157.64
35.17,109.60,165.43
35.27,109.60,172.98
35.37,109.60,170.98
35.47,109.70,157.64
35.58,109.70,165.43
35.68,99.70,180.57
35.78,119.60,188.10
35.88,109.70,126.47
35.98,119.60,134.78
36.08,99.70,142.31
36.18,109.60,150.10
36.28,109.60,157.64
36.38,99.70,165.43
36.48,119.60,180.82
36.58,109.70,195.89
36.68,109.70,134.78
36.78,99.70,142.31
36.88,109.70,150.10
36.98,119.60,154.88
37.08,99.70,158.93
37.18,109.70,177.03
37.28,109.70,180.82
37.38,109.70,195.89
37.48,99.70,162.93
37.58,109.50,150.10
37.68,109.60,157.64
37.78,109.70,165.43
37.88,99.60,177.03
37.98,109.60,195.89
38.08,119.60,126.47
38.18,109.60,135.03
38.28,99.60,142.31
38.38,109.70,156.88
38.48,109.70,165.43
38.58,109.70,179.03
38.69,109.60,195.89
38.79,109.70,130.52
38.89,119.60,142.31
38.99,99.80,148.82
39.09,119.70,126.47
39.19,109.80,126.47
39.29,109.70,126.47
39.39,109.70,126.47
39.49,109.70,126.47
39.59,99.70,126.47
39.69,109.70,126.47
39.79,109.70,126.47
39.89,109.70,126.47
39.99,109.70,126.47
40.09,109.70,126.47
40.19,109.70,126.47
40.29,109.70,126.47
40.39,99.80,126.47
40.49,109.70,126.47
40.59,109.70,126.47
40.69,109.70,126.47
40.79,109.70,126.47
40.89,109.80,126.47
40.99,109.70,182.82
41.09,109.70,180.57
41.19,109.60,195.89
41.29,99.70,129.49
41.39,109.70,137.03
41.49,119.60,142.31
41.59,109.70,154.88
41.69,99.70,165.17
41.79,109.70,180.57
41.89,109.60,195.89
41.99,109.60,134.78
42.09,109.60,157.64
42.19,99.70,165.43
42.29,109.70,180.57
42.40,109.60,195.89
42.50,119.50,126.47
42.60,99.60,142.31
42.70,109.70,150.10
42.80,119.70,157.64
42.90,109.50,165.43
43.00,99.70,184.82
43.10,109.70,180.83
43.20,109.70,134.78
43.30,109.60,142.31
43.40,109.60,152.88
43.50,109.60,157.64
43.60,109.70,172.98
43.70,99.70,195.38
43.80,119.60,126.47
43.90,109.60,137.03
44.00,109.70,142.31
44.10,99.70,142.31
44.20,109.60,150.10
44.30,109.60,157.64
44.40,109.60,165.43
44.50,99.60,187.84
44.60,119.70,128.27
44.70,109.70,134.78
44.80,99.70,142.31
44.90,109.70,152.88
45.00,119.70,158.93
45.10,109.70,172.98
45.20,99.60,188.10
45.30,109.70,126.47
45.40,109.60,141.03
45.51,109.70,142.31
45.61,109.70,157.64
45.71,119.70,126.47
45.81,109.70,126.47
45.91,109.70,126.47
46.01,109.70,126.47
46.11,109.70,126.47
46.21,99.80,126.47
46.31,109.70,126.47
46.41,109.70,126.47
46.51,109.70,126.47
46.61,109.80,126.47
46.71,109.70,126.47
46.81,99.80,126.47
46.91,109.80,126.47
47.01,109.80,126.47
47.11,109.70,126.47
47.21,109.80,126.47
47.31,109.80,126.47
47.41,109.70,126.47
47.51,109.70,126.47
47.61,109.70,126.47
47.71,109.60,134.78
47.81,99.70,142.31
47.91,119.70,152.88
48.01,109.60,164.93
48.11,99.70,180.57
48.21,109.60,195.89
48.31,109.60,134.78
48.41,109.60,142.31
48.51,109.70,150.36
48.61,109.70,135.03
48.71,109.70,142.31
48.81,109.60,157.38
48.91,109.60,164.93
49.01,109.70,177.03
52.01,99.70,195.89
52.11,109.70,130.78
52.21,119.70,142.31
52.31,109.60,149.33
52.41,109.70,157.64
52.51,109.70,160.93
52.61,109.70,173.22
52.71,109.70,190.88
52.81,109.70,180.57
52.91,109.60,166.20
53.01,109.60,184.82
53.11,99.60,195.89
53.21,119.60,126.72
53.31,109.70,137.03
53.41,109.70,142.82
53.51,99.70,157.64
53.61,109.60,157.64
53.71,99.70,158.93
53.81,109.70,175.03
53.91,119.60,195.89
54.02,109.60,195.89
54.12,99.60,165.43
54.22,109.60,165.43
54.32,109.70,164.93
54.42,109.70,177.03
54.52,109.80,180.82
54.62,109.70,195.89
54.72,109.70,130.52
54.82,99.80,142.31
54.92,119.70,149.33
55.02,109.70,194.88
55.12,99.60,146.82
55.22,109.60,134.78
55.32,119.70,126.47
55.42,99.70,126.47
55.52,119.70,126.47
55.62,109.70,126.47
55.72,109.70,126.47
55.82,109.70,126.47
55.92,109.80,126.47
56.02,109.80,126.47
56.12,109.70,126.47
56.22,99.80,126.47
56.32,109.70,126.47
56.42,109.70,126.47
56.52,109.60,126.47
56.62,109.70,126.47
56.72,109.80,126.47
56.82,109.80,126.47
56.92,99.80,126.47
57.02,109.70,126.47
57.12,109.70,126.47
57.22,119.70,142.31
57.32,99.70,173.74
57.42,109.70,190.88
57.52,119.60,126.47
57.63,99.70,142.31
57.73,109.70,146.82
57.83,109.70,157.64
57.93,99.60,165.43
58.03,119.60,188.10
58.13,109.60,195.89
58.23,99.70,134.78
58.33,109.70,180.57
58.43,109.70,195.89
58.53,119.60,126.98
58.63,99.70,134.78
58.73,109.70,142.31
58.83,109.70,150.10
58.93,99.70,158.67
59.03,109.70,173.22
59.13,119.60,188.10
59.23,119.70,126.47
59.33,109.70,134.78
59.43,99.70,142.31
59.53,109.70,152.88
59.63,109.70,158.15
59.73,119.60,177.03
59.83,99.70,195.89
59.93,109.70,130.78
60.03,99.70,142.31
60.13,109.70,142.31
60.23,119.60,150.10
60.33,109.60,157.64
60.43,99.60,141.03
60.53,109.60,142.31
60.63,109.60,150.10
60.73,109.70,157.64
60.84,119.60,165.43
60.94,99.70,186.82
61.04,109.80,166.27
61.14,99.70,134.78
61.24,119.70,142.31
61.34,109.70,150.10
61.44,99.70,157.64
61.54,109.60,165.43
61.64,119.50,182.82
61.74,109.70,195.89
61.84,99.70,126.47
61.94,109.70,141.03
62.04,109.70,126.47
62.14,109.80,126.47
62.24,109.80,126.47
62.34,99.80,126.47
62.44,109.80,126.47
62.54,119.70,126.47
62.64,109.80,126.47
62.74,109.80,126.47
62.84,109.80,126.47
62.94,109.80,126.47
63.04,99.80,126.47
63.14,119.70,126.47
63.24,109.80,126.47
63.34,109.80,126.47
63.44,109.70,126.47
63.54,109.80,126.47
63.64,109.80,126.47
63.74,109.80,126.47
63.84,99.80,130.78
63.94,119.60,157.64
64.04,99.70,165.43
64.14,109.70,188.10
64.24,109.60,126.47
64.34,99.70,139.03
64.44,119.70,146.82
64.54,109.70,157.64
64.65,109.70,165.43
64.75,99.70,165.43
64.85,119.60,150.10
64.95,109.60,157.64
65.05,99.70,165.43
65.15,109.70,166.20
65.25,109.70,188.10
65.35,99.60,126.47
65.45,119.50,132.78
65.55,109.70,141.28
65.65,109.70,142.82
65.75,99.70,157.64
65.85,109.70,165.43
65.95,119.60,177.03
66.05,109.60,195.89
66.15,109.60,126.47
66.25,119.60,141.03
66.35,99.70,146.82
66.45,109.70,157.64
66.55,109.70,166.46
66.65,109.70,188.10
66.75,99.70,134.27
66.85,119.60,177.03
66.95,109.60,173.22
67.05,99.70,190.88
67.15,109.70,126.98
67.25,119.70,141.28
67.35,99.70,148.82
67.45,109.70,157.64
67.55,109.70,165.43
67.65,99.70,180.82
67.75,119.70,180.83
67.86,109.60,134.78
67.96,99.70,142.31
68.06,109.70,152.88
68.16,119.70,157.64
68.26,109.70,170.98
68.36,99.70,188.10
68.46,109.70,126.47
68.56,109.70,139.03
68.66,109.70,126.47
68.76,109.70,126.47
68.86,109.80,126.47
68.96,99.80,126.47
69.06,109.80,126.47
69.16,109.80,126.47
69.26,99.80,126.47
69.36,109.80,126.47
69.46,109.70,126.47
69.56,109.70,126.47
69.66,119.70,126.47
69.76,109.80,126.47
69.86,109.80,126.47
69.96,109.70,126.47
70.06,109.80,126.47
70.16,99.80,126.47
70.26,109.70,126.47
70.36,109.70,126.47
70.46,119.60,142.31
70.56,99.70,195.89
70.66,109.70,126.47
70.76,109.70,142.31
70.86,119.60,150.10
70.96,99.70,157.64
