Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,50.30
1.00,101.90,50.16
1.50,103.90,50.16
2.00,101.90,50.16
2.50,101.90,50.16
3.00,101.90,50.16
4.31,102.00,50.16
4.81,103.90,50.16
5.31,101.90,50.16
5.81,101.90,50.16
6.31,102.00,50.16
6.81,101.90,50.16
7.31,103.90,50.16
7.81,101.90,50.16
8.31,101.90,50.16
8.81,101.90,50.16
9.31,103.90,50.16
9.81,101.90,50.16
10.31,102.00,50.16
10.81,101.90,50.16
11.31,103.90,50.16
11.81,101.90,50.16
12.31,101.90,50.16
12.81,101.90,50.16
13.31,101.90,50.16
13.82,105.90,50.16
14.32,101.90,50.16
14.82,101.90,50.16
15.32,101.90,50.16
15.82,103.90,50.16
16.32,102.00,50.16
16.82,101.90,50.16
17.32,103.90,50.16
17.82,101.90,50.16
18.32,102.00,50.16
18.82,101.90,50.16
19.32,103.90,50.16
19.82,101.90,50.16
20.32,101.90,50.16
20.82,103.90,50.16
21.32,101.90,50.16
21.82,101.90,50.16
22.32,101.90,50.16
22.82,103.90,50.16
23.32,102.00,50.16
23.82,102.00,50.16
24.32,102.00,50.16
24.82,104.00,50.16
25.32,101.90,50.16
25.82,101.90,50.16
26.32,102.00,50.16
26.82,103.90,50.16
27.32,101.90,50.16
27.82,101.90,50.16
28.32,101.90,50.16
28.82,103.90,50.16
29.32,101.90,50.16
29.82,101.90,50.16
30.32,101.90,50.16
30.82,103.90,50.16
31.32,103.90,50.16
31.83,101.90,50.16
32.33,101.90,50.16
32.83,104.00,50.16
33.33,101.90,50.16
33.83,101.90,50.16
34.33,101.90,50.16
34.83,104.00,50.16
35.33,101.90,50.16
35.83,101.90,50.16
36.33,101.90,50.16
37.63,103.90,50.16
38.13,101.90,50.16
38.63,101.90,50.16
39.13,101.90,50.16
39.63,103.90,50.16
40.13,101.90,50.16
40.63,101.90,50.16
41.13,101.90,50.16
41.63,101.90,50.16
42.14,103.90,50.16
42.64,101.90,50.16
43.14,101.90,50.16
43.64,101.90,50.16
44.14,103.90,50.16
44.64,101.90,50.16
45.14,101.90,50.16
45.64,101.90,50.16
46.14,103.90,50.16
46.64,101.90,50.16
47.14,102.00,50.16
47.64,103.90,50.16
48.14,101.90,50.16
48.64,103.90,50.16
49.14,101.90,50.16
49.64,103.90,50.16
50.14,103.90,50.16
50.64,103.90,50.16
51.14,101.90,50.16
51.64,103.90,50.16
52.14,104.00,50.16
52.64,101.90,50.16
53.14,104.00,50.16
53.64,102.00,50.16
54.14,103.90,50.16
54.64,101.90,50.16
55.14,103.90,50.16
55.64,101.90,50.16
56.14,101.90,50.16
56.64,103.90,50.16
57.14,101.90,50.16
57.64,101.90,50.16
58.14,104.00,50.16
58.64,101.90,50.16
59.14,101.90,50.16
59.64,101.90,50.16
60.15,103.90,50.16
60.65,101.90,50.16
61.15,101.90,50.16
61.65,103.90,50.16
62.15,101.90,50.16
62.65,101.90,50.16
63.15,103.90,50.16
63.65,101.90,50.16
64.15,101.90,50.16
64.65,101.90,50.16
65.15,103.90,50.16
65.65,101.90,50.16
66.15,101.90,50.16
66.65,101.90,50.16
67.15,101.90,50.16
67.65,103.90,50.16
68.15,101.90,50.16
68.65,103.90,50.16
69.15,101.90,50.16
70.51,103.90,50.16
71.01,101.90,50.16
71.51,101.90,50.16
72.01,101.90,50.16
72.51,103.90,50.16
73.01,102.00,50.16
73.51,101.90,50.16
74.01,102.00,50.16
74.51,103.90,50.16
75.01,101.90,50.16
75.51,102.00,50.16
76.01,101.90,50.16
76.51,101.90,50.16
77.01,103.90,50.16
77.51,102.00,50.16
78.01,101.90,50.16
78.51,101.90,50.16
79.01,103.90,50.16
79.51,102.00,50.16
80.01,101.90,50.16
80.51,102.00,50.16
81.01,103.90,50.16
81.51,101.90,50.16
82.01,101.90,50.16
82.51,104.00,50.16
83.01,101.90,50.16
83.51,101.90,50.16
84.02,101.90,50.16
84.52,104.00,50.16
85.02,101.90,50.16
85.52,101.90,50.16
86.02,103.90,50.16
86.52,102.00,50.16
87.02,101.90,50.16
87.52,101.90,50.16
88.02,103.90,50.16
88.52,103.90,50.16
89.02,101.90,50.16
89.52,103.90,50.16
90.02,101.90,50.16
90.52,101.90,50.16
91.02,103.90,50.16
91.52,102.00,50.16
92.02,101.90,50.16
92.52,103.90,50.16
93.02,101.90,50.16
93.52,101.90,50.16
94.02,103.90,50.16
94.52,102.00,50.16
95.02,101.90,50.16
95.52,101.90,50.16
96.02,103.90,50.16
96.52,101.90,50.16
97.02,101.90,50.16
97.52,101.90,50.16
98.02,103.90,50.16
98.52,101.90,50.16
99.02,101.90,50.16
99.52,101.90,50.16
100.02,103.90,50.16
100.52,101.90,50.16
101.02,101.90,50.16
101.52,101.90,50.16
102.03,103.90,50.16
102.53,101.90,50.16
103.85,101.90,50.16
104.35,101.90,50.16
104.85,103.90,50.16
105.35,101.90,50.16
105.85,101.90,50.16
106.35,101.90,50.16
106.85,101.90,50.16
107.35,105.90,50.16
107.85,101.90,50.16
108.35,101.90,50.16
108.85,101.90,50.16
109.35,104.00,50.16
109.85,102.00,50.16
110.35,101.90,50.16
110.85,102.00,50.16
111.35,101.90,50.16
111.85,103.90,50.16
112.35,102.00,50.16
112.85,101.90,50.16
113.35,101.90,50.16
113.85,103.90,50.16
114.35,101.90,50.16
114.85,103.90,50.16
115.35,102.00,50.16
115.85,101.90,50.16
116.35,103.90,50.16
116.85,101.90,50.16
117.35,103.90,50.16
117.85,101.90,50.16
118.35,101.90,50.16
118.85,103.90,50.16
119.35,101.90,50.16
119.85,101.90,50.16
120.35,103.90,50.16
120.85,101.90,50.16
121.35,103.90,50.16
121.85,101.90,50.16
122.36,101.90,50.16
122.86,103.90,50.16
123.36,101.90,50.16
123.86,101.90,50.16
124.36,103.90,50.16
124.86,101.90,50.16
125.36,101.90,50.16
125.86,103.90,50.16
126.36,103.90,50.16
126.86,101.90,50.16
127.36,104.00,50.16
127.86,101.90,50.16
128.36,101.90,50.16
128.86,103.90,50.16
129.36,101.90,50.16
129.86,101.90,50.16
130.36,101.90,50.16
130.86,103.90,50.16
131.36,101.90,50.16
131.86,101.90,50.16
132.36,101.90,50.16
132.86,103.90,50.16
133.36,101.90,50.16
133.86,101.90,50.16
134.36,101.90,50.16
134.86,104.00,50.16
135.36,101.90,50.16
136.70,102.00,50.16
137.20,101.90,50.16
137.70,101.90,50.16
138.20,101.90,50.16
138.70,101.90,50.16
139.20,101.90,50.16
139.70,101.90,50.16
140.20,101.90,50.16
140.70,102.00,50.16
141.20,101.90,50.16
141.70,99.90,50.16
142.20,101.90,50.16
142.70,101.90,50.16
143.20,101.90,50.16
143.70,101.90,50.16
144.20,102.00,50.16
144.70,101.90,50.16
145.20,103.90,50.16
145.70,101.90,50.16
146.20,104.00,50.16
146.70,103.90,50.16
147.20,104.00,50.16
147.70,105.90,50.16
148.20,103.90,50.16
148.70,103.90,50.16
149.20,103.90,50.16
149.70,103.90,50.16
150.21,103.90,50.16
150.71,103.90,50.16
151.21,103.90,50.16
151.71,103.90,50.16
152.21,101.90,50.16
152.71,104.00,50.16
153.21,101.90,50.16
153.71,101.90,50.16
154.21,101.90,50.16
154.71,103.90,50.16
155.21,102.00,50.16
155.71,101.90,50.16
156.21,101.90,50.16
156.71,103.90,50.16
157.21,101.90,50.16
157.71,101.90,50.16
158.21,101.90,50.16
158.71,103.90,50.16
159.21,101.90,50.16
159.71,101.90,50.16
160.21,101.90,50.16
160.71,103.90,50.16
161.21,101.90,50.16
161.71,101.90,50.16
162.21,101.90,50.16
162.71,105.90,50.16
163.21,102.00,50.16
163.71,101.90,50.16
164.21,101.90,50.16
164.71,101.90,50.16
165.21,101.90,50.16
165.71,103.90,50.16
166.21,101.90,50.16
166.71,101.90,50.16
167.22,101.90,50.16
167.72,101.90,50.16
168.22,104.00,50.16
168.72,101.90,50.16
170.06,101.90,50.16
170.57,101.90,50.16
171.07,99.90,50.16
171.57,101.90,50.16
172.07,101.90,50.16
172.57,100.00,50.16
173.07,101.90,50.16
173.57,99.90,50.16
174.07,101.90,50.16
174.57,99.90,50.16
175.07,102.00,50.16
175.57,99.90,50.16
176.07,101.90,50.16
176.57,100.00,50.16
177.07,101.90,50.16
177.57,101.90,50.16
178.07,103.90,50.16
178.57,101.90,50.16
179.07,101.90,50.16
179.57,103.90,50.16
180.07,101.90,50.16
180.57,101.90,50.16
181.07,103.90,50.16
181.57,101.90,50.16
182.07,103.90,50.16
182.57,103.90,50.16
183.07,101.90,50.16
183.57,101.90,50.16
184.07,103.90,50.16
184.57,101.90,50.16
185.07,101.90,50.16
185.57,103.90,50.16
186.07,102.00,50.16
186.57,101.90,50.16
187.07,103.90,50.16
187.57,105.90,50.16
188.07,103.90,50.16
188.57,103.90,50.16
189.07,103.90,50.16
189.57,104.00,50.16
190.08,103.90,50.16
190.58,103.90,50.16
191.08,103.90,50.16
191.58,103.90,50.16
192.08,103.90,50.16
192.58,101.90,50.16
193.08,101.90,50.16
193.58,103.90,50.16
194.08,101.90,50.16
194.58,101.90,50.16
195.08,101.90,50.16
195.58,103.90,50.16
196.08,102.00,50.16
196.58,101.90,50.16
197.08,101.90,50.16
197.58,103.90,50.16
198.08,101.90,50.16
198.58,101.90,50.16
199.08,101.90,50.16
199.58,101.90,50.16
200.08,103.90,50.16
200.58,102.00,50.16
201.08,103.90,50.16
201.58,101.90,50.16
202.90,103.90,50.16
203.40,101.90,50.16
203.90,100.00,50.16
204.40,101.90,50.16
204.90,101.90,50.16
205.40,99.90,50.16
205.90,101.90,50.16
206.40,100.00,50.16
206.90,101.90,50.16
207.40,99.90,50.16
207.90,101.90,50.16
208.40,101.90,50.16
208.90,100.00,50.16
209.40,101.90,50.16
209.90,101.90,50.16
210.40,101.90,50.16
210.90,103.90,50.16
211.40,101.90,50.16
211.90,102.00,50.16
212.40,103.90,50.16
212.90,101.90,50.16
213.40,101.90,50.16
213.90,103.90,50.16
214.40,101.90,50.16
214.90,103.90,50.16
215.40,102.00,50.16
215.90,101.90,50.16
216.40,103.90,50.16
216.90,102.00,50.16
217.40,103.90,50.16
217.90,101.90,50.16
218.40,101.90,50.16
218.90,103.90,50.16
219.40,101.90,50.16
219.90,103.90,50.16
220.41,105.90,50.16
220.91,105.90,50.16
221.41,103.90,50.16
221.91,103.90,50.16
222.41,104.00,50.16
222.91,103.90,50.16
223.41,104.00,50.16
223.91,103.90,50.16
224.41,104.00,50.16
224.91,101.90,50.16
225.41,103.90,50.16
225.91,102.00,50.16
226.41,101.90,50.16
226.91,103.90,50.16
227.41,101.90,50.16
227.91,102.00,50.16
228.41,101.90,50.16
228.91,101.90,50.16
229.41,103.90,50.16
229.91,102.00,50.16
230.41,101.90,50.16
230.91,101.90,50.16
231.41,103.90,50.16
231.91,101.90,50.16
232.41,101.90,50.16
232.91,101.90,50.16
233.41,101.90,50.16
233.91,103.90,50.16
234.41,101.90,50.16
235.75,101.90,50.16
236.25,101.90,50.16
236.75,102.00,50.16
237.25,99.90,50.16
237.75,99.90,50.16
238.25,101.90,50.16
238.75,99.90,50.16
239.25,101.90,50.16
239.75,101.90,50.16
240.25,99.90,50.16
240.75,100.00,50.16
241.25,102.00,50.16
241.75,101.90,50.16
242.25,101.90,50.16
242.75,103.90,50.16
243.25,101.90,50.16
243.75,101.90,50.16
244.25,103.90,50.16
244.75,101.90,50.16
245.25,103.90,50.16
245.75,101.90,50.16
246.25,103.90,50.16
246.75,103.90,50.16
247.25,101.90,50.16
247.75,103.90,50.16
248.25,101.90,50.16
248.75,103.90,50.16
249.25,104.00,50.16
249.75,101.90,50.16
250.25,103.90,50.16
250.75,101.90,50.16
251.25,103.90,50.16
251.75,103.90,50.16
252.25,101.90,50.16
252.75,105.90,50.16
253.25,103.90,50.16
253.76,103.90,50.16
254.26,103.90,50.16
254.76,106.00,50.16
255.26,103.90,50.16
255.76,103.90,50.16
256.26,103.90,50.16
256.76,103.90,50.16
257.26,105.90,50.16
257.76,105.90,50.16
258.26,103.90,50.16
258.76,103.90,50.16
259.26,101.90,50.16
259.76,103.90,50.16
260.26,101.90,50.16
260.76,102.00,50.16
261.26,101.90,50.16
261.76,101.90,50.16
262.26,103.90,50.16
262.76,101.90,50.16
263.26,101.90,50.16
263.76,101.90,50.16
264.26,103.90,50.16
264.76,101.90,50.16
265.26,101.90,50.16
265.76,101.90,50.16
266.26,103.90,50.16
266.76,101.90,50.16
267.26,101.90,50.16
267.76,101.90,50.16
269.16,101.90,50.16
269.66,99.90,50.16
270.16,99.80,50.16
270.66,99.90,50.16
