Elapsed Time (s),CPU Usage (%),Memory (MB)
0.10,0.00,43.97
0.20,279.30,48.62
0.30,109.70,49.75
0.40,109.70,51.03
0.50,99.80,52.58
0.60,109.80,51.04
0.70,109.70,52.06
0.80,109.80,53.35
0.90,99.70,51.04
1.00,109.70,52.58
1.10,109.70,51.04
1.20,109.70,51.80
1.30,109.60,52.06
1.40,99.70,51.04
1.50,109.70,51.29
1.60,109.80,51.04
1.70,99.80,51.29
1.80,109.80,52.84
1.90,119.70,51.04
2.00,99.80,52.32
2.11,109.80,51.04
2.21,99.70,52.32
2.31,109.80,51.29
2.41,129.60,51.04
2.51,99.70,51.04
2.61,109.70,51.04
2.71,99.80,52.06
2.81,109.70,53.61
2.91,109.70,51.04
3.01,99.80,53.61
3.11,119.70,51.04
3.21,99.80,51.29
3.31,109.70,52.42
3.41,109.80,51.04
3.51,99.80,51.04
