Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,49.14
1.00,99.90,49.25
1.50,101.90,49.25
2.00,103.90,49.25
2.50,101.90,49.25
3.00,101.90,49.25
3.50,102.00,49.25
4.00,102.00,49.25
4.50,104.00,49.25
5.00,101.90,49.25
5.50,102.00,49.25
6.00,101.90,49.25
6.50,101.90,49.25
7.00,101.90,49.25
7.50,103.90,49.25
8.00,101.90,49.25
8.50,101.90,49.25
9.00,101.90,49.25
9.51,102.00,49.25
10.01,103.90,49.25
10.51,101.90,49.25
11.01,102.00,49.25
11.51,103.90,49.25
12.01,101.90,49.25
12.51,103.90,49.25
13.01,101.90,49.25
13.51,102.00,49.25
14.01,101.90,49.25
14.51,101.90,49.25
15.01,104.00,49.25
15.51,101.90,49.25
16.01,101.90,49.25
16.51,102.00,49.25
17.01,102.00,49.25
17.51,103.90,49.25
18.01,101.90,49.25
18.51,101.90,49.25
19.01,101.90,49.25
19.51,102.00,49.25
20.01,103.90,49.25
20.51,102.00,49.25
21.01,101.90,49.25
21.51,101.90,49.25
22.01,101.90,49.25
22.51,103.90,49.25
23.01,101.90,49.25
23.51,101.90,49.25
24.01,101.90,49.25
24.51,102.00,49.25
25.01,103.90,49.25
25.51,101.90,49.25
26.01,101.90,49.25
26.51,101.90,49.25
27.01,101.90,49.25
27.51,103.90,49.25
28.01,101.90,49.25
28.52,101.90,49.25
29.02,101.90,49.25
30.29,101.90,49.25
30.79,103.90,49.25
31.29,103.90,49.25
31.79,101.90,49.25
32.29,101.90,49.25
32.79,101.90,49.25
33.29,103.90,49.25
33.79,101.90,49.25
34.29,101.90,49.25
34.79,101.90,49.25
35.29,101.90,49.25
35.79,103.90,49.25
36.29,101.90,49.25
36.79,101.90,49.25
37.29,101.90,49.25
37.79,102.00,49.25
38.29,103.90,49.25
38.79,101.90,49.25
39.29,101.90,49.25
39.79,102.00,49.25
40.29,101.90,49.25
40.79,101.90,49.25
41.30,103.90,49.25
41.80,101.90,49.25
42.30,102.00,49.25
42.80,101.90,49.25
43.30,101.90,49.25
43.80,104.00,49.25
44.30,101.90,49.25
44.80,101.90,49.25
45.30,101.90,49.25
45.80,101.90,49.25
46.30,103.90,49.25
46.80,101.90,49.25
47.30,101.90,49.25
47.80,102.00,49.25
48.30,101.90,49.25
48.80,103.90,49.25
49.30,103.90,49.25
49.80,101.90,49.25
50.30,101.90,49.25
50.80,101.90,49.25
51.30,103.90,49.25
51.80,101.90,49.25
52.30,101.90,49.25
52.80,101.90,49.25
53.30,103.90,49.25
53.80,101.90,49.25
54.30,101.90,49.25
54.80,101.90,49.25
55.30,101.90,49.25
55.80,102.00,49.25
56.30,103.90,49.25
56.80,101.90,49.25
57.30,101.90,49.25
57.80,102.00,49.25
58.30,102.00,49.25
58.80,103.90,49.25
59.30,101.90,49.25
59.81,101.90,49.25
60.31,101.90,49.25
60.81,101.90,49.25
61.31,104.00,49.25
61.81,101.90,49.25
62.31,102.00,49.25
63.58,101.90,49.25
64.08,101.90,49.25
64.58,103.90,49.25
65.08,101.90,49.25
65.58,101.90,49.25
66.08,101.90,49.25
66.58,101.90,49.25
67.08,103.90,49.25
67.58,101.90,49.25
68.08,101.90,49.25
68.58,103.90,49.25
69.08,102.00,49.25
69.59,103.90,49.25
70.09,101.90,49.25
70.59,102.00,49.25
71.09,102.00,49.25
71.59,101.90,49.25
72.09,103.90,49.25
72.59,101.90,49.25
73.09,101.90,49.25
73.59,101.90,49.25
74.09,102.00,49.25
74.59,103.90,49.25
75.09,101.90,49.25
75.59,101.90,49.25
76.09,101.90,49.25
76.59,102.00,49.25
77.09,102.00,49.25
77.59,103.90,49.25
78.09,101.90,49.25
78.59,101.90,49.25
79.09,102.00,49.25
79.59,101.90,49.25
80.09,104.00,49.25
80.59,101.90,49.25
81.09,101.90,49.25
81.59,101.90,49.25
82.09,103.90,49.25
82.59,101.90,49.25
83.09,101.90,49.25
83.59,102.00,49.25
84.09,101.90,49.25
84.59,103.90,49.25
85.09,101.90,49.25
85.59,101.90,49.25
86.09,101.90,49.25
86.59,101.90,49.25
87.09,103.90,49.25
87.59,103.90,49.25
88.09,101.90,49.25
88.60,101.90,49.25
89.10,102.00,49.25
89.60,103.90,49.25
90.10,101.90,49.25
90.60,102.00,49.25
91.10,101.90,49.25
91.60,101.90,49.25
92.10,103.90,49.25
92.60,101.90,49.25
93.10,101.90,49.25
93.60,101.90,49.25
94.10,101.90,49.25
94.60,103.90,49.25
95.10,101.90,49.25
96.37,102.00,49.25
96.88,101.90,49.25
97.38,101.90,49.25
97.88,103.90,49.25
98.38,101.90,49.25
98.88,101.90,49.25
99.38,101.90,49.25
99.88,101.90,49.25
100.38,104.00,49.25
100.88,101.90,49.25
101.38,101.90,49.25
