Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,47.82
1.00,101.90,47.82
1.50,99.90,47.82
2.00,101.90,47.82
2.50,99.90,47.82
3.00,99.90,47.82
3.50,99.90,47.82
4.00,99.90,47.82
4.50,97.90,47.82
5.00,99.90,47.82
5.50,99.90,47.82
6.00,99.90,47.82
6.50,99.90,47.82
7.00,101.90,47.82
7.50,100.00,47.82
8.00,101.90,47.82
8.50,100.00,47.82
9.01,101.90,47.82
9.51,101.90,47.82
10.01,99.90,47.82
10.51,98.70,47.82
11.02,97.10,47.82
11.52,97.40,47.82
12.03,99.00,47.82
12.53,97.90,47.82
13.47,95.90,47.82
13.97,97.90,47.82
14.47,99.90,47.82
14.97,101.90,47.82
15.47,101.90,47.82
15.97,99.90,47.82
16.47,101.90,47.82
16.97,101.90,47.82
17.47,99.90,47.82
17.97,101.90,47.82
18.47,99.90,47.82
18.97,107.90,47.82
19.47,111.90,47.82
19.97,110.00,47.82
20.47,110.00,47.82
20.97,109.90,47.82
21.47,111.90,47.82
21.97,111.90,47.82
22.48,100.00,47.82
22.98,102.00,47.82
23.48,100.00,47.82
23.98,101.90,47.82
24.48,101.90,47.82
24.98,99.90,47.82
25.48,101.90,47.82
25.98,99.90,47.82
26.48,102.00,47.82
26.98,97.90,47.82
27.48,97.20,47.82
27.98,97.70,47.82
28.49,97.80,47.82
28.99,100.00,47.82
29.49,101.90,47.82
30.00,99.90,47.82
30.50,101.90,47.82
31.00,99.90,47.82
31.50,102.00,47.82
32.00,102.00,47.82
32.50,100.00,47.82
33.00,101.90,47.82
33.50,99.90,47.82
34.00,101.90,47.82
34.50,101.90,47.82
35.00,95.50,47.82
35.51,98.60,47.82
36.01,95.20,47.82
36.52,96.70,47.82
37.02,99.90,47.82
37.52,102.00,47.82
38.02,99.90,47.82
38.52,102.00,47.82
39.02,101.90,47.82
39.52,99.90,47.82
40.02,101.90,47.82
40.52,101.90,47.82
41.02,99.90,47.82
41.52,102.00,47.82
42.02,100.00,47.82
42.52,101.90,47.82
43.02,95.90,47.82
43.52,91.90,47.82
44.04,95.00,47.82
44.54,99.90,47.82
