Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,51.32
1.00,105.90,51.18
1.50,103.90,51.18
2.00,105.90,51.18
2.50,105.90,51.18
3.00,106.00,51.18
3.50,105.90,51.18
4.00,105.90,51.18
4.50,105.90,51.18
5.00,105.90,51.18
5.50,105.90,51.18
6.00,106.00,51.18
6.50,103.90,51.18
7.00,101.90,51.18
7.50,101.90,51.18
8.00,103.90,51.18
8.50,102.00,51.18
9.00,102.00,51.18
9.51,101.90,51.18
10.01,103.90,51.18
10.51,101.90,51.18
11.01,101.90,51.18
11.51,101.90,51.18
12.01,102.00,51.18
12.51,103.90,51.18
13.01,101.90,51.18
13.51,101.90,51.18
14.01,102.00,51.18
14.51,103.90,51.18
15.01,101.90,51.18
15.51,101.90,51.18
16.01,101.90,51.18
17.40,101.90,51.18
17.90,99.80,51.18
18.40,99.80,51.18
18.90,99.60,51.18
19.40,99.90,51.18
19.90,99.90,51.18
20.40,99.80,51.18
20.90,99.90,51.18
21.40,99.60,51.18
21.91,99.70,51.18
22.41,100.00,51.18
22.91,101.90,51.18
23.41,101.90,51.18
23.91,103.90,51.18
24.41,101.90,51.18
24.91,101.90,51.18
25.41,101.90,51.18
25.91,103.90,51.18
26.41,103.90,51.18
26.91,103.90,51.18
27.41,104.00,51.18
27.91,103.90,51.18
28.41,103.90,51.18
28.91,103.90,51.18
29.41,103.90,51.18
29.91,105.90,51.18
30.41,103.90,51.18
30.91,103.90,51.18
31.41,103.90,51.18
31.91,103.90,51.18
32.41,103.90,51.18
32.91,103.90,51.18
33.41,103.90,51.18
33.91,105.90,51.18
34.41,103.90,51.18
34.91,105.90,51.18
35.41,104.00,51.18
35.91,103.90,51.18
36.41,105.90,51.18
36.91,104.00,51.18
37.41,105.90,51.18
37.91,103.90,51.18
38.42,103.90,51.18
38.92,105.90,51.18
39.42,103.90,51.18
39.92,105.90,51.18
40.42,103.90,51.18
40.92,103.90,51.18
41.42,103.90,51.18
41.92,101.90,51.18
42.42,101.90,51.18
42.92,102.00,51.18
43.42,101.90,51.18
43.92,101.90,51.18
44.42,101.90,51.18
44.92,102.00,51.18
45.42,101.90,51.18
45.92,102.00,51.18
46.42,101.90,51.18
46.92,102.00,51.18
47.42,101.90,51.18
47.92,102.00,51.18
48.42,101.90,51.18
48.92,103.90,51.18
49.42,101.90,51.18
50.84,99.80,51.18
51.35,97.50,51.18
51.85,99.80,51.18
52.35,99.60,51.18
52.85,97.80,51.18
53.35,99.60,51.18
53.85,99.80,51.18
54.36,99.60,51.18
54.86,99.80,51.18
55.36,99.90,51.18
55.86,101.90,51.18
56.36,101.90,51.18
56.86,103.90,51.18
57.36,101.90,51.18
57.86,101.90,51.18
58.36,101.90,51.18
58.86,103.90,51.18
59.36,103.90,51.18
59.86,105.90,51.18
60.36,103.90,51.18
60.86,103.90,51.18
61.36,104.00,51.18
61.86,103.90,51.18
62.36,103.90,51.18
62.86,103.90,51.18
63.36,103.90,51.18
63.86,103.90,51.18
64.36,103.90,51.18
64.86,103.90,51.18
65.36,103.90,51.18
65.86,103.90,51.18
66.36,104.00,51.18
66.86,105.90,51.18
67.36,105.90,51.18
67.86,105.90,51.18
68.36,103.90,51.18
68.86,105.90,51.18
69.36,104.00,51.18
69.86,105.90,51.18
70.37,103.90,51.18
70.87,105.90,51.18
71.37,103.90,51.18
71.87,105.90,51.18
72.37,103.90,51.18
72.87,105.90,51.18
73.37,101.90,51.18
73.87,101.90,51.18
74.37,102.00,51.18
74.87,103.90,51.18
75.37,101.90,51.18
75.87,102.00,51.18
76.37,101.90,51.18
76.87,103.90,51.18
77.37,101.90,51.18
77.87,102.00,51.18
78.37,101.90,51.18
78.87,104.00,51.18
79.37,101.90,51.18
79.87,101.90,51.18
80.37,101.90,51.18
80.87,101.90,51.18
81.37,103.90,51.18
81.87,102.00,51.18
82.37,101.90,51.18
83.80,99.90,51.18
84.30,99.70,51.18
84.80,99.80,51.18
85.30,99.70,51.18
85.80,97.80,51.18
86.31,99.70,51.18
86.81,99.90,51.18
87.31,97.90,51.18
87.81,99.80,51.18
88.31,99.90,51.18
88.81,101.90,51.18
89.31,103.90,51.18
89.81,102.00,51.18
90.31,101.90,51.18
90.81,101.90,51.18
91.31,103.90,51.18
91.81,103.90,51.18
92.31,105.90,51.18
92.81,103.90,51.18
93.31,103.90,51.18
93.81,103.90,51.18
94.31,103.90,51.18
94.81,106.00,51.18
95.31,103.90,51.18
95.81,103.90,51.18
96.31,103.90,51.18
96.81,103.90,51.18
97.31,103.90,51.18
97.81,103.90,51.18
98.31,103.90,51.18
98.81,103.90,51.18
99.31,103.90,51.18
99.81,105.90,51.18
100.31,103.90,51.18
100.81,103.90,51.18
101.31,105.90,51.18
101.82,103.90,51.18
102.32,103.90,51.18
102.82,105.90,51.18
103.32,103.90,51.18
103.82,105.90,51.18
104.32,104.00,51.18
104.82,103.90,51.18
105.32,105.90,51.18
105.82,103.90,51.18
106.32,101.90,51.18
106.82,104.00,51.18
107.32,101.90,51.18
107.82,102.00,51.18
108.32,101.90,51.18
108.82,104.00,51.18
109.32,101.90,51.18
109.82,102.00,51.18
110.32,101.90,51.18
110.82,103.90,51.18
111.32,101.90,51.18
111.82,104.00,51.18
112.32,101.90,51.18
112.82,104.00,51.18
113.32,101.90,51.18
113.82,102.00,51.18
114.32,101.90,51.18
114.82,103.90,51.18
115.32,101.90,51.18
115.82,97.90,51.18
117.25,99.90,51.18
117.75,99.90,51.18
118.25,99.90,51.18
118.75,99.90,51.18
119.25,99.80,51.18
119.75,97.90,51.18
120.25,99.80,51.18
120.76,99.90,51.18
121.26,99.90,51.18
121.76,104.00,51.18
122.26,101.90,51.18
122.76,101.90,51.18
123.26,101.90,51.18
123.76,104.00,51.18
124.26,101.90,51.18
124.76,103.90,51.18
125.26,103.90,51.18
125.76,105.90,51.18
126.26,103.90,51.18
126.76,103.90,51.18
127.26,103.90,51.18
127.76,103.90,51.18
128.26,105.90,51.18
128.76,103.90,51.18
129.26,103.90,51.18
129.76,103.90,51.18
130.26,103.90,51.18
130.76,103.90,51.18
131.26,103.90,51.18
131.76,103.90,51.18
132.26,103.90,51.18
132.76,103.90,51.18
133.26,105.90,51.18
133.76,103.90,51.18
134.26,104.00,51.18
134.76,103.90,51.18
135.26,105.90,51.18
135.76,103.90,51.18
136.26,103.90,51.18
136.76,103.90,51.18
137.26,103.90,51.18
137.76,105.90,51.18
138.26,103.90,51.18
138.76,103.90,51.18
139.26,103.90,51.18
139.77,102.00,51.18
140.27,101.90,51.18
140.77,101.90,51.18
141.27,103.90,51.18
141.77,101.90,51.18
142.27,101.90,51.18
142.77,101.90,51.18
143.27,103.90,51.18
143.77,101.90,51.18
144.27,101.90,51.18
144.77,103.90,51.18
145.27,103.90,51.18
145.77,101.90,51.18
146.27,102.00,51.18
146.77,101.90,51.18
147.27,103.90,51.18
147.77,102.00,51.18
148.27,101.90,51.18
148.77,99.90,51.18
150.20,99.90,51.18
150.70,99.90,51.18
151.20,99.80,51.18
151.70,99.90,51.18
152.20,97.90,51.18
152.70,99.90,51.18
153.20,99.90,51.18
153.70,99.90,51.18
154.20,101.90,51.18
154.70,101.90,51.18
155.20,101.90,51.18
155.70,102.00,51.18
156.20,103.90,51.18
156.70,102.00,51.18
157.20,101.90,51.18
157.70,103.90,51.18
158.20,103.90,51.18
158.70,107.90,51.18
159.20,103.90,51.18
159.70,103.90,51.18
160.20,103.90,51.18
160.70,103.90,51.18
161.20,103.90,51.18
161.70,103.90,51.18
162.21,103.90,51.18
162.71,103.90,51.18
163.21,104.00,51.18
163.71,103.90,51.18
164.21,103.90,51.18
164.71,105.90,51.18
165.21,103.90,51.18
165.71,103.90,51.18
166.21,103.90,51.18
166.71,103.90,51.18
