Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,50.17
1.00,101.90,50.22
1.50,104.00,50.22
2.00,101.90,50.22
2.50,103.90,50.22
3.00,103.90,50.22
3.50,103.90,50.22
4.00,101.90,50.22
4.50,102.00,50.42
5.00,103.90,50.42
5.50,101.90,50.42
6.00,102.00,50.42
6.50,104.00,50.42
7.00,101.90,50.42
7.50,103.90,50.42
8.00,101.90,50.42
8.50,104.00,50.42
9.00,101.90,50.42
9.50,103.90,50.42
10.01,101.90,50.42
10.51,104.00,50.42
11.01,101.90,50.42
11.51,101.90,50.42
12.01,103.90,50.42
13.44,101.90,50.42
13.94,103.90,50.42
14.44,101.90,50.42
14.94,103.90,50.42
15.45,101.90,50.42
15.95,103.90,50.42
16.45,102.00,50.42
16.95,103.90,50.42
17.45,101.90,50.42
17.95,101.90,50.42
18.45,103.90,50.42
18.95,101.90,50.42
19.45,103.90,50.42
19.95,101.90,50.42
20.45,103.90,50.42
20.95,101.90,50.42
21.45,101.90,50.42
21.95,103.90,50.42
22.45,101.90,50.42
22.95,105.90,50.42
23.45,101.90,50.42
23.95,103.90,50.42
24.45,101.90,50.42
24.95,101.90,50.42
25.45,103.90,50.42
25.95,101.90,50.42
26.45,103.90,50.42
26.95,101.90,50.42
27.45,103.90,50.42
27.95,102.00,50.42
28.45,103.90,50.42
28.95,102.00,50.42
29.45,103.90,50.42
29.95,101.90,50.42
30.45,101.90,50.42
30.95,103.90,50.42
31.45,101.90,50.42
31.95,103.90,50.42
32.45,101.90,50.42
32.95,103.90,50.42
33.45,101.90,50.42
33.95,103.90,50.42
34.45,102.00,50.42
34.96,103.90,50.42
35.46,102.00,50.42
35.96,103.90,50.42
36.46,102.00,50.42
36.96,101.90,50.42
37.46,103.90,50.42
37.96,101.90,50.42
38.46,103.90,50.42
38.96,101.90,50.42
39.46,103.90,50.42
39.96,101.90,50.42
40.46,103.90,50.42
40.96,102.00,50.42
41.46,103.90,50.42
41.96,103.90,50.42
42.46,103.90,50.42
42.96,101.90,50.42
43.46,103.90,50.42
43.96,101.90,50.42
44.46,101.90,50.42
44.96,103.90,50.42
46.40,101.90,50.42
46.90,103.90,50.42
47.40,101.90,50.42
47.90,103.90,50.42
48.40,101.90,50.42
48.90,103.90,50.42
49.40,101.90,50.42
49.90,101.90,50.42
50.40,103.90,50.42
50.90,101.90,50.42
51.40,104.00,50.42
