Elapsed Time (s),CPU Usage (%),Memory (MB)
0.10,0.00,44.29
0.20,269.30,54.36
0.30,109.70,56.61
0.40,109.70,59.63
0.50,99.80,59.63
0.60,109.70,61.63
0.70,109.80,61.63
0.80,109.70,63.63
0.90,109.70,63.88
1.00,109.70,72.35
1.10,109.80,72.35
1.20,109.80,72.35
1.30,109.80,72.35
1.40,109.70,72.35
1.50,99.80,72.35
1.60,109.80,72.35
1.70,109.80,72.35
1.80,109.70,87.41
1.90,109.70,87.41
2.00,109.70,87.41
2.11,109.70,87.41
2.21,109.70,87.41
2.31,109.80,87.41
2.41,119.70,87.41
2.51,109.70,87.41
2.61,99.80,96.55
2.71,109.80,101.32
2.81,109.70,101.32
2.91,109.70,105.32
3.01,109.80,105.32
3.11,109.70,107.32
3.21,109.70,109.32
3.31,99.80,109.32
3.41,109.70,110.59
3.51,109.70,110.59
3.61,109.70,110.59
3.71,109.70,110.59
3.81,109.80,110.59
3.91,109.80,110.59
4.01,109.80,110.59
4.11,99.80,110.59
4.21,109.70,110.59
4.31,109.80,110.59
4.41,109.70,130.12
4.51,109.70,158.00
4.61,109.70,165.53
4.71,109.60,181.18
4.81,109.60,196.25
4.91,109.70,131.08
5.01,99.70,142.67
5.11,109.70,150.46
5.21,119.70,158.00
5.31,109.70,165.03
5.41,99.70,179.89
5.51,109.70,195.48
5.61,109.70,127.27
5.71,109.70,141.13
5.81,99.70,147.18
5.92,119.60,158.00
6.02,109.60,165.53
6.12,109.70,180.93
6.22,109.60,196.25
6.32,119.60,127.02
6.42,109.70,136.87
6.52,99.70,188.46
6.62,109.70,196.25
6.72,109.70,135.08
6.82,109.70,142.67
6.92,109.60,150.46
7.02,109.70,158.00
7.12,109.60,173.32
7.22,99.70,194.98
7.32,119.70,126.76
7.42,109.70,196.25
7.52,99.70,135.08
7.62,109.70,142.67
7.72,109.70,145.18
7.82,119.70,158.00
7.92,99.60,165.53
8.02,109.70,126.76
8.12,109.80,126.76
8.22,109.80,126.76
8.32,109.80,126.76
8.42,109.70,126.76
8.52,109.70,126.76
8.62,99.80,126.76
8.72,109.80,126.76
8.82,109.70,126.76
8.92,99.80,126.76
9.02,109.70,126.76
9.12,109.80,126.76
9.22,109.70,126.76
9.32,109.80,126.76
9.42,109.80,126.76
9.52,109.70,126.76
9.63,109.70,126.76
9.73,109.70,126.76
9.83,99.80,126.76
9.93,129.60,190.98
10.03,109.70,196.26
10.13,99.70,127.28
10.23,109.70,142.67
10.33,109.70,145.19
10.43,109.70,158.00
10.53,109.60,165.54
10.63,109.70,183.19
10.73,109.70,196.26
10.83,99.70,131.08
10.93,119.60,142.67
11.03,109.70,150.46
11.13,109.60,158.00
11.23,99.70,165.54
11.33,109.70,180.93
11.43,109.70,192.98
11.53,109.70,196.26
11.63,109.60,127.02
11.73,109.60,126.77
11.83,99.60,196.26
11.93,119.60,126.77
12.03,109.70,135.08
12.13,109.60,142.67
12.23,99.70,150.46
12.33,109.60,158.00
12.43,119.60,166.57
12.53,99.70,180.93
12.63,109.60,192.98
12.73,109.70,126.77
12.83,109.70,128.05
12.94,99.70,135.08
13.04,119.60,142.67
13.14,119.60,150.46
13.24,109.70,152.98
13.34,99.80,158.00
13.44,119.60,163.03
13.54,109.70,126.77
13.64,109.70,126.77
13.74,109.70,126.77
13.84,99.70,126.77
13.94,109.70,126.77
14.04,109.80,126.77
14.14,109.70,126.77
14.24,109.70,126.77
14.34,109.70,126.77
14.44,109.80,126.77
14.54,109.80,126.77
14.64,109.80,126.77
14.74,109.80,126.77
14.84,99.80,126.77
14.94,109.80,126.77
15.04,109.70,126.77
15.14,109.80,126.77
15.24,109.70,126.77
15.34,109.60,142.67
15.44,109.60,180.93
15.54,109.70,188.46
15.64,99.70,196.26
15.74,109.60,135.08
15.84,119.70,142.67
15.94,99.70,150.46
16.04,109.70,158.00
16.14,109.70,165.54
16.24,109.70,180.93
16.34,109.60,196.26
16.44,109.70,142.67
16.55,99.60,150.46
16.65,109.60,158.00
16.75,109.60,165.54
16.85,129.50,180.93
16.95,99.70,196.26
17.05,109.70,128.31
17.15,109.70,141.64
17.25,109.70,142.93
17.35,109.70,158.00
17.45,109.60,165.54
17.55,109.70,166.31
17.65,99.70,180.93
17.75,109.70,196.26
17.85,119.60,135.08
17.95,109.70,142.67
18.05,99.60,150.46
18.15,109.60,158.00
18.25,109.60,165.54
18.35,109.60,177.13
18.45,99.60,167.08
