Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,53.45
1.00,101.90,61.79
1.50,101.90,66.95
2.00,101.90,66.95
2.50,101.90,66.95
3.00,101.90,66.95
3.50,102.00,66.95
4.00,101.90,66.91
4.50,101.90,66.91
5.00,101.90,66.91
5.50,102.00,66.91
6.00,101.90,66.91
6.50,101.90,66.91
7.00,101.90,66.91
7.50,101.90,66.91
8.00,101.90,66.91
8.50,101.90,66.91
9.00,101.90,66.91
9.51,101.90,66.91
10.01,101.90,66.91
10.51,101.90,66.91
11.01,101.90,66.91
11.51,101.90,66.91
12.01,101.90,66.91
12.51,102.00,66.91
13.01,101.90,66.91
13.51,101.90,66.91
14.01,103.90,66.91
14.51,101.90,66.91
15.01,101.90,66.91
15.51,103.90,66.91
16.01,101.90,66.91
16.51,101.90,66.91
17.01,101.90,66.91
17.51,101.90,66.91
18.01,101.90,66.91
18.51,101.90,66.91
19.01,102.00,66.91
19.51,101.90,66.91
20.01,101.90,66.91
20.51,101.90,66.91
21.01,101.90,66.91
21.51,101.90,66.91
22.01,102.00,66.91
22.51,101.90,66.91
23.01,101.90,66.91
23.51,102.00,66.91
24.01,101.90,66.91
24.51,101.90,66.91
25.01,101.90,66.91
25.51,101.90,66.91
26.01,102.00,66.91
26.51,101.90,66.91
27.67,101.90,66.91
28.17,101.90,66.91
28.67,102.00,66.91
29.17,102.00,66.91
29.67,101.90,66.91
30.17,101.90,66.91
30.67,101.90,66.91
31.17,102.00,66.91
31.67,101.90,66.91
32.17,101.90,66.91
32.67,101.90,66.91
33.17,102.00,66.91
33.67,101.90,66.91
34.17,102.00,66.91
34.67,101.90,66.91
35.17,101.90,66.91
35.68,103.90,66.91
36.18,101.90,66.91
36.68,101.90,66.91
37.18,102.00,66.91
37.68,101.90,66.91
38.18,102.00,66.91
38.68,101.90,66.91
39.18,102.00,66.91
39.68,101.90,66.91
40.18,101.90,66.91
40.68,102.00,66.91
41.18,101.90,66.91
41.68,102.00,66.91
42.18,101.90,66.91
