Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,53.35
1.00,99.90,61.95
1.50,101.90,66.85
2.00,101.90,66.85
2.50,101.90,66.85
3.00,101.90,66.85
3.50,101.90,66.85
4.00,101.90,66.81
4.50,101.90,66.81
5.00,99.90,66.81
5.50,102.00,66.81
6.00,102.00,66.81
6.50,101.90,66.81
7.00,101.90,66.81
7.50,101.90,66.81
8.00,103.90,66.81
8.50,101.90,66.81
9.01,101.90,66.81
9.51,99.90,66.81
10.01,101.90,66.81
10.51,101.90,66.81
11.01,102.00,66.81
11.51,102.00,66.81
12.01,101.90,66.81
12.51,101.90,66.81
13.01,99.90,66.81
13.51,102.00,66.81
14.01,101.90,66.81
14.51,101.90,66.81
15.01,102.00,66.81
15.51,101.90,66.81
16.01,101.90,66.81
16.51,101.90,66.81
17.01,99.90,66.81
17.51,101.90,66.81
18.01,101.90,66.81
19.07,101.90,66.81
19.57,101.90,66.81
20.07,101.90,66.81
20.57,101.90,66.81
21.07,101.90,66.81
21.57,100.00,66.81
22.07,101.90,66.81
22.57,102.00,66.81
23.07,101.90,66.81
23.57,102.00,66.81
24.07,101.90,66.81
24.58,101.90,66.81
25.08,100.00,66.81
25.58,101.90,66.81
26.08,101.90,66.81
26.58,101.90,66.81
27.08,103.90,66.81
27.58,101.90,66.81
28.08,101.90,66.81
28.58,101.90,66.81
29.08,99.90,66.81
29.58,101.90,66.81
30.08,101.90,66.81
30.58,101.90,66.81
31.08,101.90,66.81
31.58,101.90,66.81
32.08,101.90,66.81
32.58,99.90,66.81
33.08,101.90,66.81
33.58,101.90,66.81
34.08,101.90,66.81
34.58,101.90,66.81
35.08,101.90,66.81
35.58,101.90,66.81
36.08,101.90,66.81
36.58,101.90,66.81
37.08,99.90,66.81
37.58,101.90,66.81
38.08,101.90,66.81
38.58,101.90,66.81
39.08,101.90,66.81
39.58,101.90,66.81
40.08,101.90,66.81
40.58,101.90,66.81
41.08,100.00,66.81
41.58,101.90,66.81
42.08,101.90,66.81
42.59,101.90,66.81
43.09,101.90,66.81
43.59,101.90,66.81
44.09,101.90,66.81
44.59,101.90,66.81
45.09,101.90,66.81
45.59,102.00,66.81
46.09,101.90,66.81
46.59,101.90,66.81
47.09,101.90,66.81
47.59,101.90,66.81
48.09,101.90,66.81
48.59,101.90,66.81
49.09,100.00,66.81
49.59,102.00,66.81
50.09,101.90,66.81
50.59,101.90,66.81
51.66,102.00,66.81
52.16,102.00,66.81
52.66,101.90,66.81
53.16,99.90,66.81
53.66,101.90,66.81
54.16,101.90,66.81
54.66,101.90,66.81
55.16,101.90,66.81
55.66,101.90,66.81
56.16,101.90,66.81
56.66,101.90,66.81
57.16,99.90,66.81
57.66,101.90,66.81
58.16,101.90,66.81
58.66,101.90,66.81
59.16,101.90,66.81
59.66,101.90,66.81
60.16,101.90,66.81
60.66,99.90,66.81
61.16,101.90,66.81
61.66,101.90,66.81
62.16,101.90,66.81
62.66,101.90,66.81
63.16,101.90,66.81
63.66,103.90,66.81
64.16,99.90,66.81
64.66,101.90,66.81
65.16,101.90,66.81
65.66,102.00,66.81
66.16,101.90,66.81
66.66,101.90,66.81
67.16,101.90,66.81
67.66,101.90,66.81
68.16,101.90,66.81
68.66,99.90,66.81
69.17,101.90,66.81
69.67,101.90,66.81
70.17,101.90,66.81
70.67,101.90,66.81
71.17,101.90,66.81
71.67,101.90,66.81
72.17,101.90,66.81
72.67,99.90,66.81
73.17,101.90,66.81
73.67,101.90,66.81
74.17,102.00,66.81
74.67,101.90,66.81
75.17,101.90,66.81
75.67,101.90,66.81
76.17,102.00,66.81
76.67,99.90,66.81
77.17,101.90,66.81
77.67,101.90,66.81
78.17,101.90,66.81
78.67,101.90,66.81
79.17,101.90,66.81
79.67,101.90,66.81
80.17,99.90,66.81
80.67,101.90,66.81
81.17,103.90,66.81
81.67,101.90,66.81
82.17,101.90,66.81
82.67,101.90,66.81
83.17,102.00,66.81
83.67,101.90,66.81
84.73,100.00,66.81
85.23,101.90,66.81
85.73,101.90,66.81
86.24,101.90,66.81
86.74,101.90,66.81
87.24,101.90,66.81
87.74,99.90,66.81
88.24,101.90,66.81
88.74,101.90,66.81
89.24,102.00,66.81
89.74,101.90,66.81
90.24,101.90,66.81
90.74,101.90,66.81
91.24,101.90,66.81
91.74,99.90,66.81
92.24,102.00,66.81
92.74,101.90,66.81
93.24,101.90,66.81
93.74,101.90,66.81
94.24,101.90,66.81
94.74,101.90,66.81
95.24,99.90,66.81
95.74,101.90,66.81
96.24,101.90,66.81
96.74,101.90,66.81
97.24,101.90,66.81
97.74,101.90,66.81
98.24,101.90,66.81
98.74,101.90,66.81
99.24,99.90,66.81
99.74,103.90,66.81
100.24,101.90,66.81
100.74,101.90,66.81
101.24,102.00,66.81
101.74,101.90,66.81
102.24,101.90,66.81
102.74,101.90,66.81
103.24,101.90,66.81
103.75,99.90,66.81
104.25,101.90,66.81
104.75,101.90,66.81
105.25,102.00,66.81
105.75,101.90,66.81
106.25,102.00,66.81
106.75,102.00,66.81
107.25,101.90,66.81
107.75,99.90,66.81
108.25,101.90,66.81
108.75,101.90,66.81
109.25,101.90,66.81
109.75,101.90,66.81
110.25,101.90,66.81
110.75,101.90,66.81
111.25,99.90,66.81
111.75,101.90,66.81
112.25,101.90,66.81
112.75,101.90,66.81
113.25,101.90,66.81
113.75,101.90,66.81
114.25,101.90,66.81
114.75,99.90,66.81
115.25,101.90,66.81
115.75,101.90,66.81
116.25,101.90,66.81
117.31,101.90,66.81
117.81,101.90,66.81
118.31,101.90,66.81
118.81,101.90,66.81
119.31,101.90,66.81
119.81,101.90,66.81
120.31,101.90,66.81
120.81,101.90,66.81
121.31,99.90,66.81
121.81,101.90,66.81
122.31,101.90,66.81
122.81,101.90,66.81
123.31,101.90,66.81
123.81,101.90,66.81
124.31,101.90,66.81
124.81,102.00,66.81
125.31,99.90,66.81
125.82,101.90,66.81
126.32,101.90,66.81
126.82,101.90,66.81
127.32,101.90,66.81
127.82,101.90,66.81
128.32,101.90,66.81
128.82,101.90,66.81
129.32,99.90,66.81
129.82,102.00,66.81
130.32,101.90,66.81
130.82,101.90,66.81
131.32,101.90,66.81
131.82,101.90,66.81
132.32,101.90,66.81
132.82,101.90,66.81
133.32,101.90,66.81
133.82,99.90,66.81
134.32,101.90,66.81
134.82,102.00,66.81
135.32,101.90,66.81
135.82,101.90,66.81
136.32,103.90,66.81
136.82,101.90,66.81
137.32,101.90,66.81
137.82,101.90,66.81
138.32,99.90,66.81
