Elapsed Time (s),CPU Usage (%),Memory (MB)
0.10,0.00,43.91
0.20,329.10,51.89
0.30,99.70,55.89
0.40,99.70,59.16
0.50,99.70,59.16
0.60,99.70,61.16
0.70,99.70,61.16
0.80,99.70,63.16
0.90,99.70,63.16
1.00,99.70,63.66
1.10,99.70,72.07
1.20,99.70,72.07
1.30,99.70,72.07
1.40,99.70,72.07
1.50,99.70,72.07
1.60,99.70,72.07
1.70,99.70,72.07
1.81,99.70,72.07
1.91,99.70,72.07
2.01,99.70,87.14
2.11,99.70,87.14
2.21,99.70,87.14
2.31,99.70,87.14
2.41,99.70,87.14
2.51,109.70,87.14
2.61,99.70,87.14
2.71,99.70,87.14
2.81,99.70,97.19
2.91,99.70,99.11
3.01,99.70,104.13
3.11,99.70,104.13
3.21,99.60,106.13
3.31,99.70,108.13
3.41,109.80,108.13
3.51,109.80,110.13
3.61,109.70,110.13
3.71,119.70,110.38
3.81,109.80,110.38
3.91,109.80,110.38
4.01,109.80,110.38
4.11,99.80,110.38
4.21,109.80,110.38
4.31,109.70,110.38
4.41,109.70,110.38
4.51,109.70,110.38
4.61,109.70,110.38
4.71,109.70,151.01
4.81,109.70,135.04
4.91,99.70,142.44
5.01,109.70,151.52
5.11,109.70,165.57
5.21,109.60,185.41
5.31,109.60,195.96
5.41,109.60,134.91
5.52,99.60,142.44
5.62,119.60,153.52
5.72,109.70,157.77
5.82,109.70,165.57
5.92,99.70,180.63
6.02,109.70,188.17
6.12,119.50,169.57
6.22,109.70,157.77
6.32,109.70,165.57
6.42,99.70,173.36
6.52,109.70,183.41
6.62,119.70,195.96
6.72,109.60,134.91
6.82,99.70,139.42
6.92,109.60,142.44
7.02,109.70,145.47
7.12,109.70,126.60
7.22,109.70,126.60
7.32,99.80,126.60
7.42,109.80,126.60
7.52,109.70,126.60
7.62,109.70,126.60
7.72,109.70,126.60
7.82,109.80,126.60
7.92,109.80,126.60
8.02,119.70,126.60
8.12,99.80,126.60
8.22,109.80,126.60
8.32,109.80,126.60
8.42,109.70,126.60
8.52,109.80,126.60
8.62,109.70,126.60
8.72,99.80,126.60
8.82,109.80,126.60
8.92,109.70,126.60
9.02,109.70,157.77
9.12,109.70,165.57
9.23,109.70,179.36
9.33,109.60,195.96
9.43,109.70,134.91
9.53,109.70,142.45
9.63,99.70,151.27
9.73,109.70,160.80
9.83,119.60,172.59
9.93,119.60,188.69
10.03,109.70,127.12
10.13,99.70,142.45
10.23,109.70,143.22
10.33,109.60,150.24
10.43,109.70,157.77
10.53,109.70,165.57
10.63,109.40,188.43
10.73,109.60,126.61
10.83,109.60,137.43
10.93,99.70,149.48
11.03,109.70,157.77
11.13,119.60,157.77
11.23,99.70,165.57
11.33,109.70,126.61
11.43,109.80,126.61
11.53,109.80,126.61
11.63,109.80,126.61
11.73,109.80,126.61
11.83,109.80,126.61
11.93,99.80,126.61
12.03,109.80,126.61
12.13,109.80,126.61
12.23,109.80,126.61
12.33,109.80,126.61
12.43,109.70,126.61
12.53,109.80,126.61
12.63,109.70,126.61
12.73,109.70,126.61
12.84,109.70,126.61
12.94,109.70,126.61
13.04,99.70,126.61
13.14,109.70,127.38
13.24,109.70,157.77
13.34,109.70,167.57
13.44,109.70,189.46
13.54,119.60,126.86
13.64,109.70,142.45
13.74,99.70,150.24
13.84,109.60,157.77
13.94,119.60,173.10
14.04,109.60,195.96
14.14,99.60,134.91
14.24,109.70,142.45
14.34,109.60,150.24
14.44,109.60,157.77
14.54,109.70,173.10
14.64,109.60,195.96
14.74,109.60,127.38
14.84,99.70,142.45
14.94,109.70,150.24
15.04,109.60,157.77
15.14,119.60,173.10
15.24,109.70,193.46
15.34,109.70,195.96
15.44,99.70,191.46
15.54,109.70,126.61
15.64,109.70,126.61
15.74,109.70,126.61
15.84,109.70,126.61
15.94,109.70,126.61
16.04,99.80,126.61
16.14,109.70,126.61
16.24,109.70,126.61
16.35,109.80,126.61
